"GEMS TARIFF FOR SERVICES BY CLINICAL TECHNOLOGISTS
WITH EFFECT FROM 2026-01-01",,075 - Clinical Technology
Tariff Code,Tariff Description,2026 Tariff Value
,"In calculating the GEMS Tariff , the following rounding method is used: Values  R10 and below rounded to the nearest cent, R10+ rounded to the nearest 10cent. Modifier values are rounded to the nearest cent. When new item prices are calculated, e.g. when applying a modifier, the same rounding scheme should be followed.
ALL GEMS TARIFFS ARE VAT INCLUSIVE.",
,GENERAL RULES,
001,"It is recommended that, when such benefits are granted, drugs, consumables and disposable items used during a procedure or issued to a patient on discharge will only be reimbursed by a medical scheme if the appropriate code is supplied on the account.",
,MODIFIERS,
0001,Fee prorated according to number of treatment days;. fee = ([number of treatment days] / 30) X (item fee),
,ITEMS,
,Surgical Support,
010,Ablations,"R3,970.90"
011,Preparation of extra-corporeal equipment for surgical procedures.,"R3,555.30"
012,Operation of heart laser during myocardial revascularisation,"R3,970.90"
013,Continued operation of extra-corporeal equipment during surgery for a time in excess of one hour in 30 minute increments or part thereof provided that such part comprises 50% or more of the time,R367.00
014,Radiofrequency Catheter Ablations,"R3,970.90"
,Not to be charged with item 012,R0.00
015,"Preparation and operation of pre-operative, intra-operative or post operative physiological monitoring per patient, per admission",R350.70
,May only submit once in theatre and once in catheterisation laboratory,R0.00
017,Standby with extra-corporeal equipment for surgery within hospital,"R1,062.70"
,Cannot be used with 011,R0.00
019,Standby within the hospital for coronary angioplasty.,R350.70
021,"Preparation and operation of intra-aortic balloon pump in theatre, intensive care unit and catheterisation laboratory.","R1,062.70"
085,"Each additional 30 minutes or part thereof, provided that such part comprises 50% or more of the time.",R180.70
023,"Global fee for preparation and operation and removal of cardio assist device (LVAD, RVAD, BVAD) in theatre and intensive care unit.","R3,555.30"
027,Preparation and operation of a pre- and post-operative blood salvage device.,R350.70
029,Preparation and operation of an autotransfusion cell washing system.,"R1,393.90"
031,"Determination and monitoring of haemodynamic/pulmonary parameters, metabolism, arterial/venous pressure flow studies in high care/ICU (per patient per multiple procedures per day)","R1,115.30"
033,"Assistance with bronchoscopy procedures, placement of arterial/venous catheters, ultrasound examinations or photography.",R264.10
034,Lymph compression treatment.,R406.50
116,Preparation and operation of an artificial heart (Berlin-Heart),"R3,970.90"
118,"Daily monitoring of artificial heart, per hour",R603.60
157,Standby with extra corporeal equipment (maximum 4 hours) (per event).,R475.40
,Pulmonology,
,"Items 035 to 061 apply only to outpatient department and normal wards - Not high care or intensive care, except item 050 which applies to intensive care only.",
035,Nebulization (per one procedure).,R222.20
037,Measurement of Lung volumes and capacities by means of closed circuit (He) or (N2) washout or body plethysmography.,R437.30
039,Flow-volume determinations.,R552.90
041,Flow-volume (Pre-post B-D).,R918.20
043,Airways resistance and conductance measurements using plethysmograph or similar apparatus.,R437.30
045,Gas distribution measurements.,R437.30
047,Diffusion determinations.,R437.30
049,Exercise testing (EIA).,R309.00
050,ECMO change-out and re-establishment.,R836.70
051,"Exercise testing with recording of : VT, VO2, HR, RR, ECG and Oximetry",R437.30
053,Allergy tests.,R206.00
055,If RAST included add (per allergen).,R206.00
057,Bronchial provocation testing.,R737.40
059,Compliance measurements.,R437.30
061,Maximum inspiratory (MIP) and/or expiratory (MEP) pressures and/or Vital Capacity and/or PEFR.,R108.70
,Cardiology,
062,Assist in preparations and operations of Rotablator Procedures,R540.60
063,Cardiac catheterisation for the first hour.,R728.50
065,Each additional 30 minutes or part thereof provided that such part comprises 50% or more of the time,R180.70
064,Intravascular Ultrasound (IVUS),R464.70
,"This fee can only be charged once, irrespective of how many times this procedure is repeated. The technologist cannot charge for this procedure if a representative of a company or any other person is operating the IVUS machine",
068,Each additional 30 minutes or part thereof provided that such part comprises 50% or more of the time.,R180.70
066,Cardiac Cath Right Heart Studies,"R1,012.00"
067,Cardiac Electro physiology and related procedures for first FOUR hours.,"R1,227.30"
069,Temporary and single Pacemaker procedures.,R728.50
070,Permanent and dual Pacemaker procedures or implantation and testing of ICD devices.,R836.70
,Not to be charged in conjunction with items 063 or 065,
071,Each additional 30 minutes or part thereof provided that such part comprises 50% or more of the time.,R180.70
072,Multisite Pacing (Bi-ventricular pacing),R836.70
073,Dilatation procedures and stents.,"R1,001.40"
