"GEMS TARIFF FOR SERVICES BY CONTRACTED EMERGENCY MEDICAL SERVICES NETWORK
WITH EFFECT FROM 2026-01-01",,EMS Interhospital transfer (IHT),EMS Primary Response
Tariff Code,Tariff Description,2026 Tariff Value,2026 Tariff Value
"All services for Emergency Medical Services are subject to pre-authorisation. 
Please contact the GEMS Emergency Medical Evacuation Dispatch Centre at 0800 444 367.",,,
Basic Life Support,,,
100,Up to 45 minutes,"R2,009.00","R2,307.10"
102,Up to 60 minutes,"R2,676.60","R3,073.20"
103,Every 15 minutes after,R669.70,R769.20
111,>100km transfer with patient,R33.40,R38.40
112,>100km transfer without patient,R11.90,R13.80
104,Call out fee (under 100km travel to scene),R766.70,R0.00
113,Non patient carrying rate per km up to a maximum of 400kms,R11.40,R0.00
"Modifier - To be claimed in conjunction with the ILS and ALS callout fees for the declaration of death only. 
The code is for data purposes only, and therefore, this code will not be funded by GEMS.",,,
D0001, Declaration of Death code ,R0.00,R0.00
Intermediate Life Support,,,
125,Up to 45 minutes,"R2,712.60","R3,115.10"
127,Every 15 minutes after,R904.50,"R1,038.30"
129,>100km transfer with patient,R45.00,R51.70
130,>100km transfer without patient,R11.90,R13.80
126,Call out fee (under 100km travel to scene),"R1,149.80",R0.00
128,Non patient carrying rate per km up to a maximum of 400kms,R11.40,R0.00
Advanced Life Support/MICU,,,
131,Up to 60 minutes,"R4,770.20","R5,477.90"
133,Every 15 minutes after,"R1,192.60","R1,369.10"
141,>100km transfer with patient,R59.30,R68.10
142,>100km transfer without patient,R11.90,R13.80
151,Resuscitation fee,"R5,195.80","R5,967.00"
153,Doctor per Hour,,
134,Call out fee (under 100km travel to scene),,
143,Non patient carrying rate per km up to a maximum of 400kms,R11.40,
Additional tariffs added for 2016 after Scheme and EMS agreement: Aeromedical Transfers*,,,
Aeromedical Transfers,,,
Aeromedical Tariffs are VAT Inclusive ,,,
500,Aeromedical-Flying Time per 15 minute Interval – Day Flight /Single Engine,"R9,091.90","R9,091.90"
501,Aeromedical-Flying Time per 15 minute Interval – Night Flight/Twin Engine,"R12,122.50","R12,122.50"
Flying Time,,,
531,30 minutes,,
533,45 minutes,,
535,60 minutes,,
537,75 minutes,,
539,90 minutes,,
541,105 minutes,,
543,120 minutes,,
Staff and Consumables,,,
581,30 minutes,,
583,45 – 75 minutes,,
585,90 – 105 minutes,,
587,120  minutes,,
Aircraft Type D,,,
591,Hourly rate plus 20%,,
Winching,,,
595,"Winching, per lift",,
Staff Costs per hour,,,
621,Doctor,,
623,ICU Sister,,
625,Paramedic,,
Equipment Cost,,,
631,"Per patient, per hour",,
Aircraft Cost (per km),,,
653,Lear 24F,,
655,Lear 35,,
657,Falcon 10,,
659,King Air 200,,
663,Cessna 402,,
665,Beechcraft Baron,,
667,CitationII,,
669,Pilatus PC12,,
,Lear 55,,
,King Air 300,,
,King Air C90,,
,Falcon FA20,,
,Cessna 520,,
,Hawker 125,,
,Hawker 400 ,,
,Embraer E 90,,
,Conquest II-425,,
HEMS Cost (per hour),,,
,Bell 222,"R57,693.40","R57,693.40"
,Bell Long Ranger L4,"R44,265.10","R44,265.10"
,Bell Jet Ranger,"R44,265.10","R44,265.10"
,Eurocopter EC 130,"R57,693.40","R57,693.40"
,AgustaWestland AW119,"R57,693.40","R57,693.40"
