"GEMS TARIFF FOR SERVICES BY HOMEOPATHS
WITH EFFECT FROM 2026-01-01",,008 - Homeopaths
Tariff Code,Tariff Description, 2026 Tariff Value
,"In calculating the GEMS Tariff , the following rounding method is used: Values  R10 and below rounded to the nearest cent, R10+ rounded to the nearest 10cent. Modifier values are rounded to the nearest cent. When new item prices are calculated, e.g. when applying a modifier, the same rounding scheme should be followed.
ALL GEMS TARIFFS ARE VAT INCLUSIVE.",
,GENERAL RULES,
1,"All accounts must be presented with the following information clearly stated:

· name of homoeopath;
· qualifications of the homoeopath;
· BHF practice number;
· postal address and telephone number;
· date on which service(s) were provided;
· The  relevant diagnostic codes and NHRPL item code numbers relating to the health service rendered;
· the nature of treatment;
· the surname and initials of the member;
· the first name of the patient;
· the name of the scheme;
· the membership number of the member;
· where the account is a photocopy of the original, certification by way of a rubberstamp or the signature of the homoeopath; and
· a statement of whether the account is in accordance with the National Reference Price List.",
2,"It is recommended that, when such benefits are granted, drugs, consumables and disposable items used during a procedure or issued to a patient on discharge will only be reimbursed by a medical scheme if the appropriate code is supplied on the account.",
,Definition: Consultations,
,"Consultation: A  situation where a Homoeopathic Practitioner takes down a patient's full history and (where applicable) performs an appropriate examination, and repertorisation of the case and study of Materia Medica and/or prescribes or administers treatment and/or medicine or assists the patient with advice. (The method of repertorisation and selection of medicine is determined by the practitioner).
or
A voluntary scheduled consultation for the same condition within four (4) months (although the symptoms may differ from those presented during the first consultation). It may imply taking down a history and/or repertorisation of the case and study of Materia Medica and/or examination and/or prescribing or administering of treatment and/or medicine and/or counselling.

Multiple complaints attended to during same visit: Only one consultation fee is chargeable although the patient may present with a number of complaints. If the patient has an unrelated complaint at the time of administering e.g. a homoeopathic injection as part of a course only a fee for a visit is appropriate.

Hospital visits: at hospital or nursing home (all hours). By arrangement with scheme/patient.",
,Definition: Medicines,
,"Prescribed medicine: Homoeopathic medicines are prescribed in accordance with the homoeopathic principles and philosophy. The philosophy may consist of a classical, a clinical or a combined classical/clinical approach. The prescription may include proprietary homoeopathic medicine, or patient specific compounded medicine or a combination of both. The prescription may also include specially imported medicine. The medicine may be prescribed in the form of a tablet, capsules, ampoules, liquid drops, liquid syrup, eardrops, nose drops, eye drops, pillules, granules, powders, ointments, creams, suppositories, stickers, etc. The medicine may be prescribed in a simplex potency, mother tincture (Æ), low potency, multi-potency, etc and/or complex form.

Proprietary medicine: These are registered medicines (consonant with the homoeopathic scope of practice) that are available in the open market or trade, or which are bought in bulk from manufacturers or wholesalers and dispensed to patients in smaller volumes without any compounding or manipulation. The dispensing of such medicine requires the appropriate NAPPI Code provided by the Manufacturer/Distributor.

Non-proprietary homoeopathic medicine: These are homoeopathic medicines (consonant with the homoeopathic scope of practice) which are formulated and/or prepared and/or manipulated, and/or compounded in-house by the registered homoeopathic practitioner, and/or by a registered homoeopathic medicine manufacturer in accordance with the prescription and/or formula of the registered homoeopathic practitioner and which is not available in the market/trade.

Dispense/Dispensing: in terms of Act 101 of 1965 means in the case of a medical practitioner, dentist, practitioner, nurse or any prescriber authorised to dispense medicines.
   i. the interpretation and evaluation of a prescription;
  ii. the selection, reconstitution, dilution, labelling, recording and supply of the medicine in an appropriate container; or
 iii. the provision of information and instructions to ensure safe and effective use of a medicine by a patient.

Compound/Compounding: means to prepare, mix, combine, package and label a medicine for dispensing as a result of a prescription for an individual patient by a pharmacist or a person authorised in terms of Act 101 of 1965.

Proprietary Materials: To be used for all material and/or unregistered/unscheduled products used in treatment. The appropriate NAPPI code(s), where applicable, must be provided.
",
,"General Rules on Medicines, supplies, material and use of own equipment in treatment and procedures",
