"GEMS TARIFF FOR DENTAL TECHNICIANS
WITH EFFECT FROM 2026-01-01",,093 - Dental Technician
Tariff Code,Tariff Description,2026 Tariff Value
,"In calculating the GEMS Tariff , the following rounding method is used: Values  R10 and below rounded to the nearest cent, R10+ rounded to the nearest 10cent. Modifier values are rounded to the nearest cent. When new item prices are calculated, e.g. when applying a modifier, the same rounding scheme should be followed.
ALL GEMS TARIFFS ARE VAT INCLUSIVE.",
1,Preparatory Work,
9301,"Casting and trimming of model in plaster (yellow/white), per model",R53.70
9303,Casting and trimming of model in super-hard stone (die-stone) per model ,R76.70
9305,"Casting and trimming of study model, per model",R141.70
9307,"Casting and trimming of gnathostatic model, per model.",R184.50
9309,"New trimmed base to supplied model, per model",R65.10
9311,"Trimming of supplied model, per model",R39.90
9312,Gingival tissue mask per implant,R306.80
9313,"Duplicating model, per model",R164.80
9314,"Refractory model, per unit",R162.00
9315,"Models and duplicate models (virgin model)  for crown and bridge, work inclusive of one removable die",R224.10
9317,"Sectional models for crown and bridge, work inclusive of one removable die",R198.60
9319,Each additional removable die for items 9315 and 9317 per die,R50.80
9320,Indexed or model tray per die (not more than 9319),R50.80
9321,"Occlusion block, per block",R195.90
9323,"Occlusion block on baseplate, per block",R247.10
9327," Infection control per impression, denture (wax or acrylic) or any item in contact with body fluids",R36.90
9329,Fit and supply of disposable articulator,R96.50
9330,Delivery / Collection fee per completed procedure (maximum 4),R102.40
,The tariff under all sections excludes the fees for models - occlusion blocks and delivery charge.,
2,Prosthetic Services Using Acrylic,
A,Full Dentures,
9331,Full upper and lower dentures,"R2,633.50"
9333,Full upper or lower denture,"R1,540.80"
9335,Set-up and waxing of full upper and lower dentures,R908.00
9337,Set-up and waxing of full upper or lower denture,R607.30
9339,Waxing and finishing of full upper and lower dentures,"R1,614.80"
9341,Waxing and finishing of full upper or lower denture,R902.90
9343,Additional fee for dentures on fully adjustable articulator at request of dentist,"R2,571.30"
9345,"Additional fee for immediate dentures, or tooth socketed",R36.90
9346,"Additional fee for immediate dentures, per tooth not socketed.",R19.70
9347,Additional fee for each retry from the third and upwards at an agreed quantum of time to be calculated at hourly rate,R584.70
B,Partial Dentures,
9351,Set-up and finish of one-tooth denture,R706.60
9352,Set-up and finish of two-tooth denture,R752.00
9353,Set-up and finish of three-tooth denture,R805.80
9354,Set-up and finish of four-tooth denture,R851.10
9355,Set-up and finish of five-tooth denture,R919.70
9356,Set-up and finish of six-tooth denture,"R1,098.00"
9357,Set-up and finish of seven-tooth denture,"R1,305.50"
9358,Set-up and finish of eight-tooth denture,"R1,385.10"
9359,Set-up and finish nine or more tooth denture,"R1,419.10"
9361,Set-up and waxing of one-tooth denture,R201.50
9362,Set-up and waxing of two-tooth denture,R244.30
9363,Set-up and waxing of three-tooth denture,R278.00
9364,Set-up and waxing of four-tooth denture,R323.50
9365,Set-up and waxing of five-tooth denture,R357.40
9366,Set-up and waxing of six-tooth denture,R422.90
9367,Set-up and waxing of seven-tooth denture,R465.30
9368,Set-up and waxing of eight-tooth denture,R499.40
9369,Set-up and waxing of nine or more tooth denture,R533.60
9371,Waxing and finishing of one-tooth denture,R553.20
9372,Waxing and finishing of two-tooth denture,R564.70
9373,Waxing and finishing of three-tooth denture,R573.30
9374,Waxing and finishing of four-tooth denture,R584.70
9375,Waxing and finishing of five-tooth denture,R607.30
9376,Waxing and finishing of six-tooth denture,R630.00
9377,Waxing and finishing of seven-tooth denture,R786.10
9378,Waxing and finishing of eighth-tooth denture,R817.20
9379,Waxing and finishing of nine or more tooth denture,R862.70
9383,"Additional fee for finishing denture in tooth colour material, per tooth",R136.40
9385,Additional fee for supplying finished denture on duplicate model,R258.20
C,Repair Service,
9391,"Basic charge which includes repair of one fracture, or addition of one tooth, or addition of one clasp",R448.40
9393,"Additional charge for each additional fracture, or tooth, or clasp",R139.20
9395,Additional fee for using wire strengthener,R159.30
9397,Additional fee for using pre-formed strengthener,R170.10
9398,Additional fee for using mesh strengthener in repair procedure,R269.80
D,Additional Services,
9401,Clear base,R198.60
9403,Dox grinding of upper and lower dentures,R252.40
9405,"Inlay to artificial tooth, one surface only, per inlay ",R433.90
9406,"Inlay to artificial tooth, multi-surfaces e.g. horseshoe or L-type inlay, per inlay",R556.20
9407,Heka base technique per upper or lower denture,R595.90
