"GEMS TARIFF IN RESPECT OF HOSPICE OR SIMILAR APPROVED FACILITIES WITH A PRACTICE NUMBER COMMENCING WITH ""79""
WITH EFFECT FROM 2026-01-01",,079 - Hospices
Tariff Code,Tariff Description,2026 Tariff Value
,"In calculating the GEMS Tariff , the following rounding method is used: Values  R10 and below rounded to the nearest cent, R10+ rounded to the nearest 10cent. Modifier values are rounded to the nearest cent. When new item prices are calculated, e.g. when applying a modifier, the same rounding scheme should be followed.
ALL GEMS TARIFFS ARE VAT INCLUSIVE.",
,GENERAL RULES,
A,"It is recommended that, when such benefits are granted, drugs, consumables and disposable items used during a procedure or issued to a patient on discharge will only be reimbursed by a medical scheme if the appropriate code is supplied on the account.",
,SCHEDULE,
10,"HOSPICE OR SIMILAR APPROVED FACILITIES WITH A PRACTICE NUMBER COMMENCING WITH ""79""",
950,"Ward fee, per day (Inclusive of professional fees and disposables, except for pharmacy dispensed medication).","R1,869.70"
955,"Home health care, per visit",R612.00
960,Global fee for a terminally ill patient - By arrangement with medical scheme/patient,
