"GEMS TARIFF FOR SERVICES BY MEDICAL LABORATORY TECHNOLOGISTS
WITH EFFECT FROM 2026-01-01",,126 - Medical Technology,
Tariff Code,Tariff Description, 2026 Tariff Value,
,"In calculating the GEMS Tariff , the following rounding method is used: Values  R10 and below rounded to the nearest cent, R10+ rounded to the nearest 10cent. Modifier values are rounded to the nearest cent. When new item prices are calculated, e.g. when applying a modifier, the same rounding scheme should be followed.
ALL GEMS TARIFFS ARE VAT INCLUSIVE.",,
,Preamble,,
,"It is recommended that, when such benefits are granted, the following should be clearly specified in the scheme's rules.

- Services must only be on referral.",,
,General Rules,,
001,"Each practitioner must acquaint him-/herself with the provisions of the Medical Schemes Act, and the regulations promulgated under the Act and shall render a monthly account in respect of any service rendered. NB: Every account shall contain the following particulars :

The account or statement contemplated in section 59(1) of the Act must contain the following -
(a)	The surname and initials of the member;
(b)	the surname, first name and other initials, if any, of the patient;
(c)	the name of the scheme concerned;
(d)	the membership number of the member;
(e)	the practice code number, group practice number and individual provider registration number issued by the registering authorities for providers, if applicable, of the supplier of service and, in the case of a group practice, the name of the practitioner who provided the service;
(f)	the relevant diagnostic and such other item code numbers that relates to such relevant health service;
(g)	the date on which each relevant health service was rendered;
 (h)	the nature and cost of each relevant health service rendered, including the supply of medicine to the member concerned or to a dependant of that member; and the name, quantity and dosage of and net amount payable by the member in respect of, the medicine;",,
002,"No \\shopping list\\"" must be distributed to doctors and no group tests will be carried out.""",,
003,No charge to be raised in respect of services such as sample handling and after hours services.,,
004,"Interaction with patient for collecting of specimens shall be limited to those specimens that are physiologically expelled, such as sputum and urine and taking of venous and peripheral blood.",,
005,"It is recommended that, when such benefits are granted, drugs, consumables and disposable items used during a procedure or issued to a patient on discharge will only be reimbursed by a medical scheme if the appropriate code is supplied on the account.",,
,Haematology,,
3705,Alkali resistant haemoglobin,R79.20, 
3709,Antiglobulin test (Coombs' or trypsinzied red cells),R63.90,
3710,Antibody titration,R126.40,
3712,Antibody identification,R148.40,
3713,Bleeding time (does not include the cost of the simplate device),R122.30,
3714,"Blood volume, dye method",R126.40,
3715,Buffy layer examination,R349.80,
3716,Mean Cell Volume,R20.90 ,
3717,Bone marrow cytological examination only,R349.80,
3722,Capillary fragility: Hess,R35.60,
3723,Circulating anticoagulants,R102.60,
3724,Coagulation factor inhibitor assay,"R1,010.90",
3726,Activated protein C resistance,R456.90,
3727,Coagulation time,R55.30,
3729,Cold agglutinins,R63.50,
3730,Protein S: Functional,R658.40,
3731,Compatibility for blood transfusion,R63.50,
3732,Cryoglobulin,R63.50,
3734,Protein C (chromogenic),R531.80,
3735,Anti-thrombin III (chromogenic),R386.50,
3736,Plasminogen (chromogenic),"R1,083.00",
3737,Lupus Russel Viper method,R298.70,
3738,Lupus Kaolin Exner method,R439.30,
3739,Erythrocyte count,R39.30,
3740,Factors V and VII: Qualitative,R126.40,
3741,Coagulation factor assay: Functional,R166.10,
3743,Erythrocyte sedimentation rate,R52.30,
3744,Fibrin stabilizing factor (urea test),R79.20,
3746,Fibrin monomers,R47.40,
3753,Osmotic fragility (before and after incubation),R316.40,
3754,ABO Reverse Group,R52.70,
3755,"Full blood count (including items 3739, 3762, 3783, 3785, 3791)",R184.50,
3756,Full cross match,R126.40,
3757,Coagulation factors: Quantitative,R565.80,
3758,Factor VIII related antigen,"R1,061.80",
3759,Coagulation factor correction study,R206.00,
3762,Haemoglobin estimation,R31.80,
3763,Contact activated product assay,R284.50,
3764,Grouping: A B and O antigens,R63.50,
3765,Grouping: Rh antigen,R63.50,
3767,Euglobulin Lysis time,R449.20,
3768,Haemoglobin A2 (column chromatography),R263.40,
3769,Haemoglobin electrophoresis,R470.80,
3770,Haemoglobin-S (solubility test),R63.50,
3772,Haptoglobin: Quantitative,R166.10,
3773,Ham's acidified serum test,R140.50,
3775,Heinz bodies,R39.30,
3776,Haemosiderin in urinary sediment,R39.30,
3783,Leucocyte differential count,R109.00,
3785,Leucocytes: Total count,R31.80,
3786,QBC malaria concentration and fluorescent staining,R439.30,
3787,LE-cells,R145.80,
3789,Neutrophil alkaline phosphatase,R491.90,
3791,Packed cell volume: Haematocrit,R31.80,
3792,Plasmodium falciparum: Monoclonal immunological identification,R157.90,
3793,Plasma haemoglobin,R118.40,
