"GEMS TARIFF IN RESPECT OF MENTAL HEALTH CARE FACILITIES
WITH EFFECT FROM 2026-01-01",,055 - Mental Health Institutions
Tariff Code,Tariff Description,2026 Tariff Value
,"In calculating the GEMS Tariff , the following rounding method is used: Values  R10 and below rounded to the nearest cent, R10+ rounded to the nearest 10cent. Modifier values are rounded to the nearest cent. When new item prices are calculated, e.g. when applying a modifier, the same rounding scheme should be followed.
ALL GEMS TARIFFS ARE VAT INCLUSIVE.",
,GENERAL RULES,
A,"It is recommended that, when such benefits are granted, drugs, consumables and disposable items used during a procedure or issued to a patient on discharge will only be reimbursed by a medical scheme if the appropriate code is supplied on the account.",
C,"All accounts submitted by mental health institutions shall comply with all of the requirements in terms of the Medical Schemes Act, Act No. 131 of 1999. Where possible, such accounts shall also reflect the practice code numbers and names of the surgeon, the anaesthetist and of any assistant surgeon who may have been present during the course of an operation.",
D,"All accounts shall be accompanied by a copy of the relevant theatre accounts specifying all details of items charged, as well as all the procedures performed. Photocopies of all other documents pertaining to the patients account must be provided on request. Medical schemes shall have the right to inspect the original source documents at the rehabilitation hospital concerned.",
E,All accounts containing items which are subject to a discount in terms of the recommended benefit shall indicate such items individually and shall show separately the gross amount of the discount.,
E.3.3,Mental Institutions refers to all institutions registered with the Department of Health in terms of the Mental Health Care Act 17 of 2002 having practice code numbers commencing with the digits 55.,
F,"Accommodation fees includes the services listed below:

A.	The minimum services that are required are items 3, 5 and 6.

B.	If managed care organisations or medical schemes request any of the other services included in this list, no additional charge may be levied by the hospital.

1.	Pre-authorisation (up to the date of admission) of:
· length of stay
· level of care
· theatre procedures

2.	Provision of ICD-10 and CPT-4 codes when requesting pre-authorisation

3.	Notification of admission

4.	Immediate notification of changes to:
· length of stay
· level of care
· theatre procedures

5.	Reporting of length of stay and level of care
· In standard format for purposes of creating a minimum dataset of information to be used in defining an alternative reimbursement system.

6.	Discharge ICD-10 and CPT-4 coding
· In standard format for purposes of creating a minimum dataset of information to be used in defining an alternative reimbursement system.
· Including coding of complications and co-morbidity. To be done as accurately as practically possible by the hospital.

7.	Case management by means of standard documentation and liaison between scheme and hospital appointed case managers
· Liaison means communication and sharing of information between case managers, but does not include active case management by the hospital.",
,SCHEDULE,
8,"INSTITUTIONS REGISTERED IN TERMS OF THE MENTAL HEALTH ACT 1973 WITH A PRACTICE NUMBER COMMENCING WITH \\55\\""""",
004,General ward fee: with overnight stay,"R2,369.20"
005,General ward fee: without overnight stay,"R1,742.90"
006,General ward fee: under 5 hours stay,R902.40
045,"Ward and dispensary drugs.  The amount charged in respect of dispensed medicines and scheduled substances shall not exceed the limits prescribed in the Regulations Relating to a Transparent Pricing System for Medicines and Scheduled Substances, dated 30 April 2004, made in terms of the Medicines and Related Substances Act, 1965 (Act No 101 of 1965).

In relation to other ward stock (materials and/or medicines), the amount charged shall not exceed the net acquisition price (inclusive of VAT) or the exit price as determined in terms of Act No 101 of 1965.",
055,Electroconvulsive therapy (ECT) (No theatre fee chargeable),"R1,184.40"
231,Monitors,R346.90
273,"To take out. Dispensed items including ampoules, over the counter and proprietary items issued to patients. All items must be shown on accounts. Dispensed items including ampoules, over the counter and proprietary items issued to patients.  The same principles as in code 045 apply.",
