"GEMS TARIFFS FOR SERVICES RENDERED BY NON-CONTRACTED EMERGENCY MEDICAL SERVICES
WITH EFFECT FROM 2026-01-01",,EMS Primary Response
Tariff Code,Tariff Description, 2026 Tariff Value
All services for Emergency Medical Services are subject to pre-authorisation.,,
Please contact the GEMS Emergency Medical Evacuation Dispatch Centre at 0800 444 367. ,,
Basic Life Support,,
100,Up to 45 minutes,"R1,791.00"
102,Up to 60 minutes,"R2,385.90"
103,Every 15 minutes after,R597.00
111,>100km transfer with patient,R29.80
112,>100km transfer without patient,R12.40
104,Call out fee (under 100km travel to scene),
113,Non patient carrying rate per km up to a maximum of R1800,
Intermediate Life Support,,
125,Up to 45 minutes,"R2,417.80"
127,Every 15 minutes after,R806.10
129,>100km transfer with patient,R40.10
130,>100km transfer without patient,R12.40
126,Call out fee (under 100km travel to scene),
128,Non patient carrying rate per km up to a maximum of R1800,
Advanced Life Support/MICU,,
131,Up to 60 minutes,"R4,252.10"
133,Every 15 minutes after,"R1,063.20"
141,>100km transfer with patient,R52.90
142,>100km transfer without patient,R12.40
151,Resuscitation fee,"R4,631.50"
134,Call out fee (under 100km travel to scene), 
143,Non patient carrying rate per km up to a maximum of R1800, 
Aeromedical Transfers,,
Aeromedical Tariffs are VAT inclusive,,
500,Aeromedical-Flying Time per 15 minute Interval – Day Flight /Single Engine,"R8,431.50"
501,Aeromedical-Flying Time per 15 minute Interval – Night Flight/Twin Engine,"R11,242.00"
