"GEMS TARIFF FOR SERVICES BY OCCUPATIONAL THERAPISTS
WITH EFFECT FROM 2026-01-01",,066 - Occupational Therapists
Tariff code ,Tariff Description,2026 Tariff Value
,"In calculating the GEMS Tariff , the following rounding method is used: Values  R10 and below rounded to the nearest cent, R10+ rounded to the nearest 10cent. Modifier values are rounded to the nearest cent. When new item prices are calculated, e.g. when applying a modifier, the same rounding scheme should be followed.
ALL GEMS TARIFFS ARE VAT INCLUSIVE.",
,REGULATIONS DEFINING THE SCOPE OF THE PROFESSION OF OCCUPATIONAL THERAPY (R2145 - 31 July 1992),
,GENERAL RULES,
006,"Where emergency treatment is provided:
a. during working hours, and the provision of such treatment requires the practitioner to leave her or his practice to attend to the patient in hospital; or 
b. after working hours the fee for such visits shall be the total fee plus 50%.

For purposes of this rule:
a. Emergency treatment means a bona fide, justifiable emergency occupational therapy procedure, where failure to provide the procedure immediately would result in serious impairment to bodily functions or serious dysfunction of a bodily organ or part, or would place the person's life in serious jeopardy; and 
b. Working hours means 8h00 to 17h00, Monday to Friday. 

Modifier 0006 must be quoted after the appropriate code number(s) to indicate that this rule is applicable.

NOTE: This MAY NOT be charged when weekend treatment is provided as clinical care – ONLY when an emergency intervention is requested or required per medical condition.",
008,"The provision of assistive devices shall be charged (exclusive of VAT) at net acquisition price plus –

- 26% of the net acquisition price where the net acquisition price of that appliance is less than one hundred rands; 

- a maximum of twenty six rands where the net acquisition price of that appliance is greater than or equal to one hundred rands.

 Modifier 0008 must be quoted after the appropriate code numbers to show that this rule is applicable.",
009,"Materials used in the construction of orthoses or pressure garments shall be charged (exclusive of VAT) at net acquisition price plus:

- 26% of the net acquisition price where the net acquisition price of that material is less than one hundred rands; 
- a maximum of twenty six rands where the net acquisition price of that material is greater than or equal to one hundred rands.

Modifier 0009 must be quoted after the appropriate code numbers to show that this rule is applicable.",
010,"Materials used in treatment shall be charged (exclusive of VAT) at net acquisition price plus:

- 26% of the net acquisition price where the net acquisition price of that material is less than one hundred rands; 
- a maximum of twenty six rands where the net acquisition price of that material is greater than or equal to one hundred rands.

Modifier 0010 must be quoted after the appropriate code numbers to show that this rule is applicable.

NOTES:
These are not an all-inclusive list of materials that can be used by occupational therapists in the course of treatment. If items are not represented by these codes, NAPPI codes should be used for the items. Funders may not cover the cost of these codes.

This is a suggested modifier to be used and may not be reimbursed by the funders. This may be for the account of the client.
",
011,"Where the therapist performs treatments away from the treatment rooms, travelling costs to be charged according to AA rates e.g. for domicilliary treatments or treatments in nursing homes. Modifier 0011 must be quoted after the appropriate code numbers to show that this rule is applicable.

Please note that although only some medical schemes accept responsibility for the payment of transport expenses, others do so in exceptional cases only.",
012,"Every practitioner shall render a monthly account in respect of any service rendered during the month, irrespective of whether or not the treatment has been completed. NB. Every account shall contain the following particulars:
 
i	The name and practice number of the consulting occupational or art therapist.
ii	The name of the member.
iii	The name of the patient.
iv	The name of the medical scheme.
v	The membership number of the patient.
vi	The nature of the treatment.
vii	The date on which the service was rendered.
viii	The  relevant diagnostic codes and NHRPL item code numbers relating to the health service rendered.",
013,"It is recommended that, when such benefits are granted, drugs, consumables and disposable items used during a procedure or issued to a patient on discharge will only be reimbursed by a medical scheme if the appropriate code is supplied on the account.

Please note: In the case of occupational therapy, a code will only be required when a standard proprietary (off the shelf) product is used. When a splint or support is made by the occupational therapist using or modifying one or more components, a code cannot accurately identify this non-standard product. Please refer to annexure itemising the most commonly made non-standard products used in occupational therapy and bill accordingly.

The Occupational Therapy Association of S A has made available a generic list of non-proprietary splints and pressure garments commonly made by practitioners. The type of materials used to manufacture these products is at the discretion of the practitioner concerned. Price of splints and pressure garments may vary. See Annexures A & B.",
,Modifiers,
0006,Add 50% of the total cost for the procedure,
0008,"Assistive devices to be charged (exclusive of VAT) at net acquisition price plus –

- 26% of the net acquisition price where the net acquisition price of that appliance is less than one hundred rands; 

- a maximum of twenty six rands where the net acquisition price of that appliance is greater than or equal to one hundred rands.",
0009,"Materials used for orthoses or pressure garments  to be charged (exclusive of VAT) at net acquisition price plus:

- 26% of the net acquisition price where the net acquisition price of that material is less than one hundred rands; 
- a maximum of twenty six rands where the net acquisition price of that material is greater than or equal to one hundred rands.

See Annexures A & B for non-standard products. ",
