"GEMS TARIFF FOR SERVICES BY PHYTOTHERAPISTS
WITH EFFECT FROM 2026-01-01",,103 - Phytotherapy
Tariff Code,Tariff Description,2026  Tariff Value
,"In calculating the GEMS Tariff , the following rounding method is used: Values  R10 and below rounded to the nearest cent, R10+ rounded to the nearest 10cent. Modifier values are rounded to the nearest cent. When new item prices are calculated, e.g. when applying a modifier, the same rounding scheme should be followed.
ALL GEMS TARIFFS ARE VAT INCLUSIVE.",
,RULES,
,ITEMS,
,Consultations,
,"Consultation encompasses consultation, history taking, patient examination and assessment, side room diagnostic tests, counseling and/or preparation of medicines.",
130,Consultation (initial or follow up). Duration 5 - 15 mins,R128.70
131,Consultation (initial or follow up). Duration 16 - 30 mins,R289.80
132,Consultation (initial or follow up). Duration 31 - 45 mins,R482.70
133,Consultation (initial or follow up). Duration 46 - 60 mins,R675.70
134,"Consultation, each additional full 15 mins, to a maximum of 60 mins",R193.50
,Preparation and Dispensing of Medicaments,
,Medicaments,
,"The amount charged in respect of proprietary medicines shall be at net acquisition price.

In relation to all other materials, items are to be charged (exclusive of VAT) at net acquisition price plus -

* 26% of the net acquisition price where the net acquisition price of that material is less than one hundred rands; and

* a maximum of twenty six rands where the net acquisition price of that material is greater than or equal to one hundred rands.", 
310,"Tinctures, per 10 ml",R8.28
320,"Tea mixes, per 10g",R3.01
330,"Capsules/tablets, per capsule",R10.00
340,"Creams/Ointments, per 10ml",R60.20
350,"Syrups, per 10ml",R8.41
360,"Medicinal oils, per 10ml",R3.64
390,Proprietary materials, 
395,Proprietary medicines, 
