"GEMS TARIFF FOR RADIOLOGISTS AND NUCLEAR MEDICINE
WITH EFFECT FROM 2026-01-01",,025 - Nuclear Medicine,038 - Radiology
Tariff Code,Tariff Description,2026 Tariff Value,2026 Tariff Value
,"In calculating the GEMS Tariff , the following rounding method is used: Values  R10 and below rounded to the nearest cent, R10+ rounded to the nearest 10cent. Modifier values are rounded to the nearest cent. When new item prices are calculated, e.g. when applying a modifier, the same rounding scheme should be followed.
ALL GEMS TARIFFS ARE VAT INCLUSIVE.",,
,"This schedule is for the exclusive use of registered specialist radiology practices (Pr No \""038\"") and nuclear medicine practices (Pr No \""025\"").  “025” practices may only charge the codes with a 3rd digit of 9.  “038” practices may charge all codes except codes with a 3rd digit of 9.  Practitioners registered as both radiologists and nuclear physicians may charge all codes. Neurosurgeons accredited by the RSSA may charge for the neuro-interventional studies at 100% of the published radiology rate subject to preauthorisation and this excludes equipment fees or any other claims for the same event.",,
,This schedule must be used in conjunction with the Radiological Society of S A Guidelines. Please refer to the PET guidelines in Annexure D. ,,
,Code Structure Framework,,
,"a.	 The tariff code consists of 5 digits
i.	 1st digit indicates the main anatomical region or procedural category.
•	 0 = General (non-specific)
•	 1 = Head
•	 2 = Neck
•	 3 = Thorax
•	 4 = Abdomen and Pelvis (soft tissue)
•	 5 = Spine, Pelvis and Hips
•	 6 = Upper limbs
•	 7 = Lower limbs
•	 8 = Interventional
•	 9 = Soft tissue regions (nuclear medicine)
•	 eg “Head” = 1xxxx

ii.	 2nd digit indicates the sub-region within a main region or category, eg
•	 “Head / Skull and Brain” = 10xxx

iii.	3rd digit indicates modality
•	1 = General (Black and White) x-rays
•	2 = Ultrasound
•	3 = Computed Tomography
•	4 = Magnetic Resonance Imaging
•	5 = Angiography 
•	6 = Interventional radiology
•	9 = Nuclear Medicine (Isotopes)
 eg:  “Head / Skull and Brain / General x-ray” = 101xx

iv.	4th and 5th digits are specific to a procedure/examination, 
 eg: Head  / Skull and Brain / General / X-ray of the skull” = 10100.",,
,Guidelines for use of coding structure,,
,"•	The vast majority of the codes describe complete procedures / examination and their use for the appropriate studies is self-explanatory.
•	Some codes may have multiple applications and their use is described in notes associated with each code
•	Codes 00510 to 00560 (Angiography machine codes) may only be used by owners of the equipment and who have registered such equipment with the Board of Healthcare Funders / RSSA. 
•	The machine codes 00510, 00520, 00530, 00540, 00550, 00560 may not be added to 60540, 60550, 70530, 70535 (Antegrade Venography, upper and lower limbs)  
•	Where public sector hospital equipment is used for a procedure, the units will be reduced by 33.33%.",,
,Consumables,,
,"•	Contrast Medium
o	Prior to the implementation of Act 90, contrast will be billed according to the official 2004 RSSA reimbursement price list, without mark up.
o	After the implementation of Act 90, contrast medium will be billed according to the suppliers’ list price, without mark up.
•	Angiography catheters, angioplasty balloons, stents, coils and other embolisation materials, guide wires and drains are to be billed at net acquisition cost, without mark up, until the implementation of Act 90.  
•	All other consumables are to be billed at net acquisition price, until the implementation of Act 90. Thereafter Act 90 regulations apply. 
•	The cost of film is included in the comprehensive procedure codes and is not billed for separately.
•	Appropriate codes must be provided for consumables.",,
,General Comments on Procedural Codes,,
,"•	All x-ray tomography codes are stand alone studies and may be used as a unique study or in combination with the appropriate regional study if done simultaneously. May not be added to 20130, 42110, 42115.
•	Setting of sterile tray is included in all appropriate procedure codes. 
•	Where introduction of contrast is necessary eg. sialography, arthrography, angiography, etc, the codes used for the procedures are comprehensive and include the introduction of contrast or isotopes. 
•	The use of Doppler or Colour Doppler as an adjunct to a study (eg small parts thyroid) is included in the code for that study. 
•	CT Angiography (10330, 20330, 32300, 32310, 44300, 44310, 44320, 44330, 60310, 70310, 70320) are stand alone studies and may not be added to the regional contrasted studies (see 10335, 20340, 20350, 44325 for combined studies). 
•	Angiography and interventional procedures include selective and super selective catheterization of vessels as are necessary to perform the procedures.",,
,"Codes 00230 (Ultrasound guidance), 00320 (CT guidance) and 00430 (MR guidance) are stand alone procedures that include the regional study and may not be added to any of the ultrasound, CT or MR regional studies",,
,General Codes,,
,Modifiers,,
00091,Radiology and nuclear medicine services rendered to hospital inpatients,,
00092,Radiology and nuclear medicine services rendered to outpatients,,
00093,A reduction of one third (33.33%) will apply to radiological examinations where hospital equipment it used,,
,PPE Modifiers,,
00100,COVID PPE/Cleaning modifier- General ,R0.00,R0.00
00200,COVID PPE/Cleaning modifier- Ultra Sound ,R0.00,R0.00
00300,COVID PPE/Cleaning modifier- CT,R0.00,R0.00
00400,COVID PPE/Cleaning modifier- MRI,R0.00,R0.00
00500,COVID PPE/Cleaning modifier- Angioraphy ,R0.00,R0.00
00600,COVID PPE/Cleaning modifier- Interventional ,R0.00,R0.00
00901,COVID PPE/Cleaning modifier- Nuclear Medicine ,R0.00,R0.00
,Equipment / Diagnostic,,
00090,"Consumables used in radiology procedures: cost price PLUS 26% (up to a maximum of R26,00). (Where applicable, VAT should be added to the above).",,
,Appropriate code to be provided. See separate codes for contrast and isotopes,,
00110,X-ray skeletal survey under five years,,"R1,107.00"
00115,X-ray skeletal survey over five years,,"R1,838.90"
00120,X-ray sinogram any region,,"R1,925.60"
00130,X-ray with mobile unit in other facility,,R335.80
,To be added to applicable procedure codes eg 30100.,, 
00135,X-ray control view in theatre any region,,R930.00
00140,X-ray fluoroscopy any region,,R399.50
,"May only be added to the examination when fluoroscopy is not included in the standard procedure code. May not be added to:
• any angiography, venography, lymphangiography or interventional codes.
• any contrasted fluoroscopy examination.",,
00145,"X-ray fluoroscopy guidance for biopsy, any region",,R937.40
,"Add to the procedure eg. 80600, 80605, 80610.",, 
00150,"X-ray C-Arm (equipment fee only, not procedure) per half hour",,R427.90
,Only to be used if equipment is owned by the radiologist.,, 
00155,X-ray C-arm fluoroscopy in theatre per half hour (procedure only),,R406.20
00160,X-ray fixed theatre installation (equipment fee only),,R399.50
,Only to be used if equipment is owned by the radiologist.,, 
00190,X-ray examination contrast material,,R0.00
,Identification code for the use of contrast with a procedure. Appropriate codes to be supplied.,, 
00210,Ultrasound with mobile unit in other facility,,R325.10
,Add to the relevant ultrasound examination codes eg 10200.,, 
00220,Ultrasound intra-operative study,,"R1,294.10"
,Covers all regions studied. Single code per operative procedure.,, 
00230,Ultrasound guidance,,"R2,140.00"
,"Comprehensive ultrasound code including regional study and guidance. Guided procedure code to be added eg. 80600, 80605, 80610.",, 
00240,Ultrasound guidance for tissue ablation,,"R1,987.80"
,Comprehensive ultrasound code including regional study and guidance. Radiologist assistance (01030) may be added if procedure is performed by a non-radiologist. Guided procedure code to be added if performed by a radiologist. 80620 or 80630.,,
00250,Ultrasound limited Doppler study any region,,"R1,149.20"
,Stand alone code may not be added to any other code.,,
00290,Ultrasound examination contrast material,,
,Identification code for the use of contrast with a procedure. Appropriate codes to be supplied.,,
00310,CT planning study for radiotherapy,,"R3,778.90"
00591,Radiology prosthetic device,,
,To be used once per planning session for any region,,
00320,CT guidance (separate procedure),,"R2,992.00"
,"Comprehensive CT code including regional study and guidance. Guided procedure code to be added eg 80600, 80605, and 80610.",,
00330,"CT guidance, with diagnostic procedure",,"R1,495.60"
,"To be added to the diagnostic procedure code. Guided procedure code to be added eg 80600, 80605, 80610.",,
00340,CT guidance and monitoring for tissue ablation,,"R3,739.70"
,"May only be used once per procedure for a region. Radiologist assistance (01030) may be added if procedure is performed by a non-radiologist. If performed by radiologist, add procedural code 80620, or 80630.",,
00390,CT examination contrast material,,
,Identification code for the use of contrast with a procedure. Appropriate codes to be supplied.,,
00410,MR study of the whole body for metastases screening,,"R12,448.50"
00420,MR Spectroscopy any region,,"R5,110.30"
,"May be added to the regional study, once only.",, 
00430,MR guidance for needle replacement,,"R7,525.50"
,"Comprehensive MRI code including region studied and guidance. Guided procedure code to be added eg 80600, 80605, 80610.",, 
00440,MR low field strength imaging of peripheral joint any region,,"R2,122.10"
00450,MR planning study for radiotherapy or surgical procedure,,"R6,719.40"
00455,"MR planning study for radiotherapy or surgical procedure, with contrast",,"R8,310.80"
00490,MR examination contrast material,,R0.00
,Identification code for the use of contrast with a procedure. Appropriate codes to be supplied.,, 
00510,Analogue monoplane screening table,,"R7,251.60"
,A machine code may be added once per complete procedure / patient visit.,,R0.00
00520,Analogue monoplane table with DSA attachment,,"R8,399.30"
,A machine code may be added once per complete procedure / patient visit.,,R0.00
00530,Dedicated angiography suite: Analogue monoplane unit. Once off charge per patient by owner of equipment.,,"R8,399.30"
,A machine code may be added once per complete procedure / patient visit.,,R0.00
00540,Digital monoplane screening table,,"R14,131.60"
,A machine code may be added once per complete procedure / patient visit.,,R0.00
00550,Dedicated angiography suite: Digital monoplane unit. Once off charge per patient by owner of equipment.,,"R16,449.90"
,A machine code may be added once per complete procedure / patient visit.,,R0.00
00560,Dedicated angiography suite: Digital bi-plane unit. Once off charge per patient by owner of equipment.,,"R22,103.10"
,A machine code may be added once per complete procedure / patient visit.,,
00590,Angiography and interventional examination contrast material,,
,Identification code for the use of contrast with a procedure. Appropriate codes to be supplied.,,
00900,"Nuclear Medicine study - Bone, whole body, appendicular and axial skeleton","R6,174.60",
00903,"Nuclear Medicine study - Bone, whole body, appendicular and axial skeleton and SPECT","R8,545.90",
00906,Nuclear Medicine study - Venous thrombosis regional,"R3,808.80",
00909,Nuclear Medicine study - Tumour whole body,"R6,038.60",
00912,Nuclear Medicine study - Tumour whole body multiple studies,"R8,409.30",
00915,Nuclear Medicine study - Tumour whole body and SPECT,"R8,409.30",
00918,Nuclear Medicine study - Tumour whole body multiple studies & SPECT,"R10,782.60",
00921,Nuclear Medicine study – Infection whole body,"R5,561.20",
00924,Nuclear Medicine study – infection whole body with SPECT,"R7,932.20",
00927,Nuclear Medicine study – infection whole body multiple studies,"R7,932.20",
00930,Nuclear Medicine study – infection whole body with SPECT multiple studies,"R10,303.70",
00933,Nuclear Medicine study - Bone marrow imaging limited area,"R4,261.50",
00936,Nuclear Medicine study - Bone marrow imaging whole body,"R6,632.60",
00939,Nuclear Medicine study - Bone marrow imaging limited area multiple studies,"R6,632.60",
00942,Nuclear Medicine study - Bone marrow imaging whole body multiple studies,"R9,003.60",
00945,Nuclear Medicine study - Spleen imaging only - haematopoietic,"R4,261.50",
00960,Nuclear Medicine therapy – Hyperthyroidism,"R2,120.20",
00965,Nuclear Medicine therapy - Thyroid carcinoma and metastases,"R1,144.20",
00970,Nuclear Medicine therapy – Intra-cavity radio-active colloid therapy,"R1,144.20",
00975,Nuclear Medicine therapy - Interstitial radio-active colloid therapy,"R1,144.20",
00980,Nuclear Medicine therapy - Intravascular radio pharmaceutical therapy particulate,"R1,144.20",
00985,Nuclear Medicine therapy - Intra-articular radio pharmaceutical therapy,"R1,144.20",
00990,Nuclear Medicine Isotope,,
,Identification code for the use of isotope with a procedure. Appropriate codes to be supplied.,,
00991,Nuclear Medicine Substrate,,
00956,PET/CT scan whole body without contrast,,
00957,PET/CT scan whole body with contrast,,
00950,PET scan local,,
00951,PET/CT local,,
00952,PET/CT local with contrast,,
00955,PET scan whole body,,
,Call and assistance,,
,"•	Emergency call out code 01010 only to be used if radiologist is called out to the rooms to report on an examination after normal working hours. May not be used for routine reporting during extended working hours. 
•	Emergency call out code 01020 only to be used when a radiologist reports on subsequent cases after having been called out to the rooms to report an initial after hours procedure. This code may also be used for home tele-radiology reporting of an emergency procedure.  May not be used for routine reporting during normal or extended working hours.
•	Radiologist assistance in theatre code 01030 only to be used if the radiologist is actively involved in assisting another radiologist or clinician with a procedure.
•	Radiographer assistance in theatre 01040 may not be used for procedures performed in facilities owned by the radiologist; ie only for attendance in hospital theatres etc. Does not apply to Bed Side Unit (BSU) examinations. 
•	Second opinion consultations only to be used if a written report is provided as indicated in codes 01050, 01055, 01060. Not intended for ad hoc verbal consultations.",,
01010,"Emergency call out fee, first case",,R530.60
01020,"Emergency call out fee, subsequent cases same trip",,R353.60
01030,"Radiologist assistance in theatre, per half hour",,"R1,061.00"
01040,"Radiographer attendance in theatre, per half hour",,R282.80
01050,"Written report on study done elsewhere, short",,R265.10
01055,"Written report on study done elsewhere, extensive",,R742.40
01060,"Written report for medico legal purposes, per hour",,"R1,718.70"
01070,Consultation for pre-assessment of interventional procedure,,R859.80
01100,"X-ray procedure after hours, per procedure",,R353.60
01200,"Ultrasound procedure after hours, per procedure",,R707.30
01300,"CT procedure after hours, per procedure",,"R1,768.00"
01400,"MR procedure after hours, per procedure",,"R2,475.60"
01500,"Angiography procedure after hours, per procedure",,"R3,536.60"
01600,"Interventional procedure after hours, per procedure",,"R4,597.60"
01970,Consultation for nuclear medicine study,R389.10,
,Monitoring,,
,•	ECG / Pulse oximetry monitoring (02010). Use for monitoring patients requiring conscious sedation during imaging procedure. Not to be used as a routine.,,
02010,ECG/pulse Oximeter monitoring,,R353.60
,Head,,
,Skull and Brain,,
,Codes 10100 (skull) and 10110 (tomography) may be combined.,,
10100,X-ray of the skull,,R682.50
10110,X-ray tomography of the skull,,R760.50
10120,X-ray shuntogram for VP shunt,,"R2,715.90"
10200,Ultrasound of the brain – Neonatal,,"R1,305.10"
10210,Ultrasound of the brain including doppler,,"R2,337.40"
10220,"Ultrasound of the intracranial vasculature, including B mode, pulse and colour doppler",,"R2,659.50"
10300,CT Brain uncontrasted,,"R4,005.40"
10310,CT Brain with contrast only,,"R5,884.70"
10320,CT Brain pre and post contrast,,"R7,158.10"
10325,CT brain pre and post contrast for perfusion studies,,"R8,682.00"
,"Stand alone code may not be added to any other CT studies of the brain, except for code 10330",,
10330,CT angiography of the brain,,"R13,718.20"
10335,CT of the brain pre and post contrast with angiography,,"R17,312.70"
10340,CT brain for cranio-stenosis including 3D,,"R6,040.30"
10350,CT Brain stereotactic localisation,,"R3,423.40"
10360,CT base of skull coronal high resolution study for CSF leak,,"R6,171.00"
10400,"MR of the brain, limited study",,"R7,702.60"
10410,MR of the brain uncontrasted,,"R11,281.30"
10420,MR of the brain with contrast,,"R13,428.30"
10430,MR of the brain pre and post contrast,,"R18,396.60"
10440,"MR of the brain pre and post contrast, for perfusion studies",,"R18,997.80"
10450,MR of the brain plus angiography,,"R16,302.80"
10460,MR of the brain pre and post contrast plus angiography,,"R21,436.20"
10470,MR angiography of the brain uncontrasted,,"R10,344.10"
10480,MR angiography of the brain contrasted,,"R13,088.20"
10485,"MR of the brain, with diffusion studies",,"R13,968.90"
10490,"MR of the brain, pre and post contrast, with diffusion studies,",,"R19,563.80"
10492,"MR study of the brain plus angiography plus diffusion, uncontrasted",,"R16,798.20"
10495,MR of the brain pre and post contrast plus angiography and diffusion,,"R22,180.60"
10500,Arteriography of intracranial vessels: 1 - 2 vessels,,"R8,593.30"
10510,Arteriography of intracranial vessels: 3 - 4 vessels,,"R14,557.60"
10520,Arteriography of extra-cranial (non-cervical) vessels,,"R8,564.90"
10530,Arteriography of intracranial and extra-cranial (non-cervical) vessels,,"R20,881.30"
10540,Arteriography of intracranial vessels (4) plus 3 D rotational angiography,,"R17,252.70"
10550,Arteriography of intracranial vessels (1) plus 3D rotational angiography,,"R6,593.70"
10560,Venography of dural sinuses,,"R9,235.40"
10900,"Nuclear Medicine study – Bone regional, static","R3,801.70",
10905,"Nuclear Medicine study – Bone regional, static, with flow","R4,868.20",
10910,"Nuclear Medicine study – Bone regional, static with SPECT","R6,174.60",
10915,"Nuclear Medicine study – Bone regional, static, with flow, with SPECT","R7,239.10",
10920,"Nuclear Medicine study – Brain, planar, complete, static","R2,992.00",
10925,Nuclear Medicine study – Brain complete static with vascular flow,"R4,058.40",
10930,"Nuclear Medicine study – Brain, planar, complete, static, with SPECT","R5,363.10",
10935,"Nuclear Medicine study – Brain, planar, complete, static, with flow, with SPECT","R6,429.30",
10940,Nuclear Medicine study - CSF flow imaging cisternography,"R3,819.60",
10945,Nuclear Medicine study – Ventriculography,"R2,371.00",
10950,"Nuclear Medicine study - Shunt evaluation static, planar","R2,371.00",
