"GEMS TARIFF FOR SERVICES BY SPEECH THERAPISTS AND AUDIOLOGISTS
WITH EFFECT FROM 2026-01-01",,"082 - Speech therapy 
Sub-discipline 01","082 - Audiology
Sub-discipline 02"
Tariff Code,Tariff Description, 2026 Tariff Value,2026 Tariff Value
,"In calculating the GEMS Tariff , the following rounding method is used: Values  R10 and below rounded to the nearest cent, R10+ rounded to the nearest 10cent. Modifier values are rounded to the nearest cent. When new item prices are calculated, e.g. when applying a modifier, the same rounding scheme should be followed.
ALL GEMS TARIFFS ARE VAT INCLUSIVE.",,
,General Rules,,
A,"All accounts must be presented with the following information clearly stated:

 · name of practitioner
 · qualifications of the practitioner;
 · BHF practice number;
 · postal address and telephone number;
 · date on which service(s) were provided;
 · The  relevant diagnostic codes and NHRPL item code numbers relating to the health service rendered;
 · the surname and initials of the member;
 · the first name of the patient;
 · the name of the scheme;
 · the membership number of the member; and
 . the name and practice number of the referring practitioner, if applicable.",,
B,"The rate in respect of more than one evaluation under item 1800 shall be the full rate for the first evaluation plus half the rate in respect of each additional evaluation, but under no circumstances may fees be charged for more than three evaluations carried out.",,
D,"It is recommended that, when such benefits are granted, drugs, consumables and disposable items used during a procedure or issued to a patient on discharge will only be reimbursed by a medical scheme if the appropriate code is supplied on the account.",,
E,"Materials used in treatment shall be charged (exclusive of VAT) at net acquisition price plus –

- 26% of the net acquisition price where the net acquisition price of that material is less than one hundred rands; 

- a maximum of twenty six rands where the net acquisition price of that material is greater than or equal to one hundred rands.

Use item 300 for this purpose.",,
,Modifier ,,
1017,Audiology assistant modifier,,R0.00
,ITEMS,,
1,"Assessment, Consultation & Treatment",,
,"The time used to conduct any diagnostic or treatment procedure claimed in addition to the codes in this section, can not be considered in determining the duration of the assessment, consultation or treatment claimed",,
1.1,Consultations,,
1.1.1,Audiology Consultations,,
1010,Audiology consultation. Duration 5 - 15 mins,,R148.40
1011,Audiology consultation. Duration 16 - 30 mins,,R333.60
1012,Audiology consultation. Duration 31 - 45 mins,,R556.20
1013,Audiology consultation. Duration 46 - 60 mins,,R778.90
1015,"Prolonged audiology consultation, each additional full 15 mins, to a maximum of 60 mins",,R222.60
1.1.2,Speech Therapy Consultations,,
1020,Speech therapy consultation. Duration 5 - 15 mins,R150.60,
1021,Speech therapy consultation. Duration 16 - 30 mins,R339.00,
1022,Speech therapy consultation. Duration 31 - 45 mins,R564.40,
1023,Speech therapy consultation. Duration 46 - 60 mins,R790.30,
1.2,Assessment & Treatment,,
1.2.1,Speech Therapy Assessment & Treatment,,
1050,Speech therapy assessment and treatment. Duration 5 - 15 mins,R150.60,
1051,Speech therapy assessment and treatment. Duration 16 - 30 mins,R339.00,
1052,Speech therapy assessment and treatment. Duration 31 - 45 mins,R564.40,
1053,Speech therapy assessment and treatment. Duration 46 - 60 mins,R790.30,
2,"Speech, Voice, Language and Hearing Disorders",,
0007,Group therapy: per patient at rooms (Maximum of 3 patients per therapy),R225.80,
,Note: Professional Group Consultations - no fee to be charged.,,
0009,Preparation of a home programme,R225.80,
,Note: This category is to prepare the home programme prior to consultation with patient or care giver,,
