"GEMS TARIFF IN RESPECT OF PRIVATE SUB ACUTE FACILITIES 
WITH EFFECT FROM 2026-01-01",,049 - Sub-Acute Facilities
Tariff Code,Tariff Description,2026 Tariff Value
1,Accomodation ,
,Ward Fees,
,"Private sub-acute facilities shall indicate the exact time of admission and discharge on all accounts.

Patients admitted as day patients shall be charged half daily rate if discharged before 23h00 on the same date:

The following will be applicable to items 001, 010, 013, 015, 017, 105 and 020 
On the day of admission:
If accommodation is less than 12 hours from time of admission: half the daily rate.
If accommodation is more than 12 hours from time of admission: full daily rate.
On day of discharge:
If accommodation is less than 12 hours: half the daily rate.
If accommodation is more than 12 hours: full daily rate.

Two half-day fees would be applicable when a patient is transferred internally between any ward and any sub-acute unit.
",
1.1,General Wards,
001,"Ward fee, per day","R2,125.50"
1.2,Rehabilitation units, 
,"The following high function rehabilitation impairment categories will be treated in recognised and accredited specialised rehabilitation units of private sub-acute facilities: Stroke, Brain dysfunction (traumatic and non-traumatic), Spinal cord dysfunction  (traumatic and non-traumatic), Orthopaedic (lower joint replacements), Amputation (lower extremity), Cardiac, Pulmonary, Major multiple trauma. Other neurological or orthopaedic impairments will require specific letters of motivation.", 
101,General ward/facility fee: under 5 hours stay,R473.70
105,General care (ward/supporting facilities and equipment),"R2,186.00"
,Note: The maxima may be modified in individual cases on specific motivation from the doctor-in-charge., 
1.3,Psychiatric Rehabilitation Unit,
,"The following psychiatric categories will be treated in recognised and accredited specialised psychiatric units of private sub-acute facilities: Depression, Bipolar mood disorder, Anxiety disorder, Organic mood disorder, Dementia, Psychological behavioural disorder, Schizophrenia, Mental retardation, Eating disorder, Nonorganic sleep disorder, Sexual disfunction (not by organic disorder) and Mental behaviour disorder (ass pueperium), will require specific letters of motivation. Inclusive of all specialised psychiatric equipment, monitors, etc.",
003,Ward fee: with overnight stay (specific motivation from the doctor-in-charge) (ward/supporting facilities and equipment),"R2,216.50"
005,General ward fee: under 5 hours stay,R481.50
007,General ward fee: without overnight stay,"R1,146.00"
2,STANDARD MATERIAL CHARGES,
2.1,Ward stock,
,"The amount charged in respect of dispensed medicines and scheduled substances shall not exceed the limits prescribed in the Regulations Relating to a Transparent Pricing System for Medicines and Scheduled Substances, dated 30 April 2004, made in terms of the Medicines and Related Substances Act, 1965 (Act No 101 of 1965).

In relation to other ward stock (materials and/or medicines), the amount charged shall not exceed the net acquisition price (inclusive of VAT) or the exit price as determined in terms of Act No 101 of 1965.",
419,Ward stock, 
2.2,Gases,
,"Oxygen, ward use
Fee for oxygen, per quarter hour of part thereof. To charged using the appropriate NAPPI code.",
284,PWV area,
710,Cape Town,
711,Port Elizabeth,
712,East London,
713,Durban,
714,Other areas,
