"GEMS OPTOMETRY TARIFFS
WITH EFFECT FROM 2026-01-01",,070 - Network Optometrists,
Tariff Code,Tariff Description,2026 Tariff values,Flag
11001,Optometric Examination ,R681.30,
11021,Optometric Re-Examination within six months of 11001/11081,R482.00,
11031,Pediatric Optometric Examination - Simple case,R838.40,
11032,Pediatric Optometric Examination - Complex case,R995.50,
11046,Ocular Pathology Examination,R764.90,
11061,Low vision Optometric Examination,R943.10,
11071,Optometic Examination-In theatre,R995.60,
11081,Optometric Examination and Visual Field Screening,R717.90,
11141,Refractive Status Evaluation,R262.00,
11183,Keratometry,R131.00,
11202,Tonometry without anaesthetic,R157.20,
11212,Tonometry with anaesthetic,R209.60,
11221,Colour Vision Screening,R118.50,
11246,Colour Vision Evaluation,R240.90,
11265,Contrast Sensitivity Evaluation,R148.20,
11283,Lacrimal System Evaluation,R304.90,
11303,Cycloplegic Refraction,R660.30,
11321,Consultation without performing a Refraction,R262.00,
11323,Preferential Looking (Infants < Two Years and Low functional px),R565.80,
11346,Corneal Topography,R298.70,
11356,Gonioscopy,R327.70,
11366,Dilated Fundus Examination with Fundus lens,R324.90,
11402,Visual Field - Screening,R167.70,
11423,Visual Field - Non Threshold Testing,R209.60,
11443,Visual Field - Threshold Testing,R366.70,
11501,Dispensing Fee - Single Vision Basic,R94.30,
11503,Dispensing Fee - Single Vision Surfaced,R125.80,
11521,Dispensing Fee - Bifocals,R125.80,
11531,Dispensing Fee - Accomodative support,R125.80,
11540,Dispensing Fee - Intermediate to Near,R125.80,
11541,Dispensing Fee – Varifocal Distance to Near,R157.20,
11545,Dispensing Fee - Advanced/special circumstance dispensing,R52.40,
11550,Dispensing Fee - Advanced measurement tools,R167.70,
11604,Photography of Anterior Segment,R104.70,
11624,Photography of Fundus,R167.70,
11634,Scanning laser opthalmoscopy-wide angle,R199.10,
11640,Measuring axial length,R303.90,
11702,Pachymetry,R146.70,
11707,After Hours (per 15min),R157.20,
11729,Broken Appointments (15min),R157.20,
11749,Travel  - Away From Practice ,,
11802,Optical Coherence Tomography (OCT) Health Screening,R303.90,
11803,Optical Coherence Tomography (OCT) Anterior,R220.10,
11804,Optical Coherence Tomography (OCT) Posterior,R262.00,
11805,Corneal/Scleral Tomography,R335.40,S
11809,Screening School (per person),R576.40,
11810,Screening for neonate(premature and low birth weights),R723.10,
11811,Screening 6 month old,R628.80,
11812,Screening 3-5 year old,R628.80,
11829,Screening Industrial (per person),R73.30,
11830,Screening Pilot licence,R52.40,
11832,Screening Skipper licence,R52.40,
11834,Screening for Drivers licence,R31.30,
11838,Glaucoma Investigation,R272.40,
11904,Visual Electrophysiology Testing,R890.80,
11906,Lacrimal Drainage System Patency,R387.70,
11908,Closure of Lacrimal Punctum by Plug,R361.60,
11909,Application of Amniotic membrane,R282.90,
11924,Meibomian gland expression,R419.20,
11929,Intense pulse light therapy,R408.60,
12012,Contact Lens Evaluation - Basic,R471.60,
12032,Contact Lens Evaluation- Complex,R707.50,
12052,Contact Lens Evaluation - Advanced,R890.80,
12062,Contact Lens Evaluation - Therapeutic,R890.80,
12072,Contact lens Dispensing ,R183.40,
12112,Contact Lens follow-up Evaluation - Basic ,R445.40,
12132,Contact Lens follow-up Evaluation - Complex ,R707.50,
12152,Contact Lens follow-up Evaluation - Advanced ,R890.80,
12162,Contact Lens Follow-up Evaluation -Therapeutic ,R890.80,
12503,Contact Lens Related Problems Evaluation,R445.40,
12533,Contact lens Handling and care instructions,R314.20,
12600,Contact Lens Design Fee,R555.50,
13003,Binocular Instability  Evaluation - Simple Case,R628.80,
13023,Binocular Instability Evaluation - Complex Case,R943.10,
13043,Binocular Instability Follow-up,R576.30,
13105,Visually Related Learning Disorders Evaluation & Analises,"R1,886.30",
13115,Eye Movement Evaluation,R240.90,
13125,Digital Eye Tracking  Evaluation  ,R523.90,
13403,Vision Therapy - Home Therapy Instruction and Feedback,R806.90,
13423,Vision Therapy - Individual (per 15 minutes),R471.60,
13445,Vision Therapy - Individual  (per 30 minutes),R649.70,
13463,Vision Therapy - Group per Patient  (per 15 minutes),R272.40,
13495,Online Vision Therapy - per 30 minutes,R597.40,
13509,Ortho-Didactic Reading Skill screening,R262.00,
13529,Ortho-Didactic Reading Skill Evaluation,"R1,131.80",
13549,Colorimetry Intuitive - evaluation,R890.80,
14008,Sports Vision Individual Screening,R639.30,
14218,Sports Vision Individual Evaluation,R901.10,
14238,Sports Vision Individual Training,R649.70,
14268,Sports Vision Group Screening  (Per person),R471.60,
14278,Sports Vision Group Evaluation (Per person),R555.50,
14288,Sports Vision Group  Training (Per person),R282.90,
15000,Removal of Non embedded Foreign Body ,R251.60,
15002,Removal of embedded; non-penetrating foreign body ,R367.20,
15004,Removal of corneal foreign body ,R476.90,
15006,Drainage of Conjunctival Cyst,R282.90,
15010,Expression Conjunctival Follicles/Trachoma,R282.90,
15020,Meibomian gland probing,R628.80,
15025,Management of Ocular pathology ,R922.10,
15030,Management of Ocular pathology - Follow up,R660.30,
16013,Low Vision Evaluation,R628.80,
16023,Low Vision Occupational and Essential Rehabilitation,R712.60,
16073,Low Vision Training ,R691.60,
17001,Neuro Optometric Evaluation Acute (ln Patient),R869.80,
17005,Neuro Optometric Evaluation Post-Acute(Out Patient),R943.10,
17010,Neuro Optometric Evaluation Follow-up,R785.80,
17015,External Ocular Photography,R178.30,
17020,Neurofeedback Evaluation,R429.60,
17025,Neurofeedback Therapy,R377.20,
17030,Phototherapy Evaluation,R607.80,
17035,Phototherapy Follow-up,R523.90,
17040,Phototherapy session,R398.20,
19001,Clinical Report,R209.60,
11806,Corneoscleral Impression Molding,R0.00,N
11905,AI/External Diagnostic Analysis,R0.00,N
19002,AI/External Diagnostic Software Report,R0.00,N
23801,OTC Eyedrops,,
23907,Contact Lens Solutions ,,
23919,Contact Lens Accessories ,,
24022,Rigid Contact Lens,,
24024,Rigid Scleral Contact lens,,
24202,Bifocal Rigid Lens,,
25412,Fenestration Rigid Lens (per hole),,
25512,Truncation Rigid Lens,,
26012,Laboratory Service / Modification / Polish,,
26115,Analysis of Rigid Lens,,
27145,CLL Hand Painted Prosthetic with black pupil and opaque backing (Contaflex 38%) Occluder,"R6,430.40",
27146,Ultravision Kerasoft IC 77% with exchange,"R3,066.70",
27147,Ultravision Kerasoft 2 49% with exchange,"R4,025.00",
27148,Ultravision Kerasoft 3  (Silicone Hydrogel 74%),"R3,258.30",
27150,CLL Soft Haptic 38% Prosthetic,"R5,612.00",
27151,CLL Hand Painted Prosthetic with clear pupil and opaque backing (Contaflex 38%) Pinhole,"R5,797.90",
27152,Menicon Rose K Soft with exchange,"R3,641.70",
27155,CLL Dark Brown Iris Prosthetic with Black pupil,"R2,108.30",
27156,CLL Dark Brown Iris Prosthetic with black pupil and opaque backing (Contaflex 38%) Occluder,"R2,846.30",
27157,CLL Dark Brown Iris with clear pupil and opaque backing (Contaflex 38%),"R2,213.80",
27158,CLL Dark Brown Iris with clear pupil (Contaflex 38%) Pinhole / Albinism,"R1,686.70",
27165,CLL Field Eyes (sports tint),"R1,840.00",
27170,CLL Enhancing Iris Tint,"R1,686.70",
27175,CLL Hand Painted Theatricals,,
27185,CLL Clear lens with Black pupil (Contaflex 38%),"R1,686.70",
27186,CLL Clear lens with Black pupil and opaque backing (Contaflex 38%),"R1,939.70",
27327,CLL Trusphere / Z-Sphere Soft (up to 60%),"R1,265.00",
27329,CLL Trusphere / Z-Sphere Soft (higher than 60%),"R1,652.20",
27370,Ultravision Prosthetic Soft Plano base lens,"R6,900.00",S
27371,Ultravision Prosthetic Soft Spherical base lens,"R6,900.00",S
27372,Ultravision Prosthetic Soft Toric base lens,"R8,816.70",S
