"GEMS TARIFFS FOR NON-CONTRACTED SERVICES FOR ENHANCED REIMBURSEMENT FOR IN-ROOMS PROCEDURES 
WITH EFFECT FROM 2026-01-01",,"Family Practitioners (014) and 
Family Physicians (015)",Specialists,
Tariff Code,Tariff Description,2026 Tariff Value,2026 Tariff Value,
,"In calculating the GEMS Tariff , the following rounding method is used: Values  R10 and below rounded to the nearest cent, R10+ rounded to the nearest 10cent. Modifier values are rounded to the nearest cent. When new item prices are calculated, e.g. when applying a modifier, the same rounding scheme should be followed.
ALL GEMS TARIFFS ARE VAT INCLUSIVE.",,,
,RULES GOVERNING THE STRUCTURE OF  THE GEMS MEDICAL PRACTITIONERS TARIFF FILES  APPLY,,,
,"ENHANCED REIMBURSEMENT FOR IN-ROOM PROCEDURES INCLUDES ALL APPLICABLE MODIFIERS EXCEPT 0010 AND 0020, WHICH CAN BE BILLED ADDITIONALLY WHEN APPROPRIATE.",,,
2.2,Integumentary system,,,
IR0244,Repair of nail bed (only for ingrown toe nail),"R1,054.20","R1,084.20", 
IR0307,Excision and repair by direct suture; excision nail fold or other minor procedures of similar magnitude ( only for ingrown toe nail),R949.30,R975.80,
IR0310,Radical excision of nailbed ( only for ingrown toe nail),"R1,336.20","R1,373.00",
IR0313,Extensive resection for malignant soft tissue tumour including muscle,R0.00,"R10,260.30",
IR0314,Excision of larger cancers as an ellipse and direct repair usually requiring undermining,R0.00,"R3,758.10",
IR0315,Excision of small cancers as an ellipse and direct repair,R0.00,"R1,987.50",
2.3,Major plastic repair,,,
IR0289,Full thickness skin graft repair,"R6,580.80","R8,456.50",
IR0295,Flap repair for above excisions,"R5,793.50","R7,445.30",
4.1,Nose and Sinuses,,,
IR1018,Flexible nasopharyngolaryngoscope examination,"R1,826.60","R1,876.80",
8.2,Lips,,,
IR1485,Excision of benign lip lesion,R949.30,R975.80,
IR1487,Excision of malignant lip lesion,R0.00,"R3,288.70",
IR1499,Full thickness lip repair,R0.00,"R3,816.60",
8.6,Stomach,,,
IR1587,Upper gastro-intestinal endoscopy,"R1,713.90","R1,762.00",
8.8,Gastrointestinal Tract (Intestines),,,
IR1653,Total colonoscopy:  (including biopsy),"R3,164.50","R3,252.70",
IR1656,Left-sided colonoscopy,"R2,109.90","R2,168.30",
IR1676,Flexible sigmoidoscopy (including rectum and anus),"R1,713.90","R1,762.00",
IR1677,"Sigmoidoscopy: First and subsequent, with or without biopsy",R456.90,R469.60,
IR1679,"Sigmoidoscopy with removal of polyps, first and subsequent","R1,054.20","R1,084.20",
IR1681,Proctoscopy with removal of polyps: First time,R738.50,R758.80,
IR1683,Proctoscopy with removal of polyps: Subsequent times,R527.20,R542.60,
10.3,Bladder,,,
IR1949,Cystoscopy: Hospital equipment (a specific practice request),"R1,546.50","R1,590.90",
11.2,Testis and Epididymis,,,
IR2207,Vasectomy: Unilateral or bilateral (no extra fee to be charged if done in combination with prostatectomy),"R1,965.30","R2,019.60",
12.1,Vulva and introitus,,,
IR2271,Removal of tag or polyp,R211.30,R217.40,
IR2272,Removal of small superficial benign lesions,R807.60,R831.20,
IR2274,"Electro-, cryo-, chemo-, laser therapy of vulva and/or vagina (colposcopy directed)","R2,495.80","R2,566.30",
IR2277,Removal of benign vulva tumour or cyst,"R2,355.90","R2,421.10",
IR2283,Hymenectomy,"R1,512.10","R1,554.70",
IR2293,Vulva and introitus: Drainage of abscess,R949.30,R975.80,
12.2,Vaginal procedures and operations,,,
IR2316,"Destruction of condylomata by chemo-, cryo-, or electrotherapy, or harmonic scalpel: First lesion",R492.40,R505.20,
IR2317,"Destruction of condylomata by chemo-, cryo-, or electrotherapy, or harmonic scalpel: Repeat – Limited",R246.40,R253.40,
IR2318,"Destruction of condylomata by chemo-, cryo-, or electrotherapy, or harmonic scalpel: Widespread","R1,968.80","R2,023.50",
12.3,Cervix,,,
IR2392,"Cryo- or electro-cauterisation, or Lletz of cervix (excluding cost of disposable loop electrode): In consulting room",R492.40,R516.30,
IR2395,"Cryo- or electro-cauterisation, or Lletz of cervix (excluding cost of disposable loop electrode): Under anaesthetic","R1,892.90","R1,951.90",
IR2396,"Cautery, laser or Harmonic scalpel treatment of the cervix","R2,812.90","R2,891.50",
IR2399,Punch biopsy (excluding after-care),R316.20,R325.00,
IR2400,Biopsy during pregnancy (excluding after-care),R456.90,R469.60,
IR2405,Cone biopsy: Cervix (excluding after-care),R0.00,"R1,951.90",
IR2415,Cervix encerclage: Removal items 2409 and 2411: Without anaesthetic,R175.90,R181.00,
IR2429,Colposcopy (excluding after-care),R949.30,R975.80,
12.4,Uterus,,,
IR2434,Endometrial biopsy (excluding after-care),R633.10,R650.80,
IR2442,Insertion of intra uterine contraceptive device (IUCD) (excluding after-care),R633.10,R650.80,
12.7,Miscellaneous procedures,,,
IR2565,Implantation hormone pellets (excluding after-care),R105.30,R108.40,
16.3,Cataract,,,
IR3051,Needling or capsulotomy,R0.00,"R4,698.80",
IR3052,Laser capsulotomy,R0.00,"R3,794.50",
16.12,Lids: Reconstruction of eyelid,,,
IR3189,Full thickness eyelid repair,R0.00,"R4,933.90",
