"GEMS TARIFF FOR SERVICES BY NON-CONTRACTED MEDICAL PRACTITIONERS
WITH EFFECT FROM 2026-01-01",,014 - General Medical Practice,,016 - Obstetrics and Gynaecology,,032 - Paediatricians,,
Tariff Code,Tariff Description,2026 Tariff Value ,Flag,2026 Tariff Value ,Flag,2026 Tariff Value ,Flag,
,"In calculating the GEMS Tariff , the following rounding method is used: Values  R10 and below rounded to the nearest cent, R10+ rounded to the nearest 10cent. Modifier values are rounded to the nearest cent. When new item prices are calculated, e.g. when applying a modifier, the same rounding scheme should be followed.
ALL GEMS TARIFFS ARE VAT INCLUSIVE.",,,,,,, 
,RULES GOVERNING THE STRUCTURE,,,,,,,
A.,"Consultations: Definitions:  (a) New and established patients: A consultation/visit refers to a clinical situation where a medical practitioner personally obtains a patient’s medical history, performs an appropriate clinical examination and, if indicated, administers treatment, prescribes or assists with advice.  These services must be face-to-face with the patient and excludes the time spent doing special investigations which receive additional remuneration. (b) Subsequent visits: Refers to a voluntarily scheduled visit performed within four (4) months after the first visit. It may imply taking down a medical history and/or a clinical examination and/or prescribing or administering of treatment and/or counselling.  (c)  Hospital visits: Where a procedure or operation was done, hospital visits are regarded as part of the normal after-care and no fees may be levied (unless otherwise indicated).  Where no procedure or operation was carried out, fees may be charged for hospital visits according to the appropriate hospital or inpatient follow-up visit code.",,,,,,,
B.,"Normal hours and after hours: After-hours services are paid at the same rate as benefits for normal hours services. Bona fide emergency medical services rendered to a patient, at any time, may attract a fee as specified in modifier 0011 and items 0146 or 0147 (which should be added to the appropriate consultative services code selected from items 0190-0192, 0173-0175, 0161-0164, 0166-0169)",,,,,,,
C.,"Comparable services: A service may be rendered that is not listed in this edition of the coding structure.  The fee that may be charged in respect of the rendering of a service not listed in this coding structure shall be based on the fee in respect of a comparable service. For these procedure(s)/service(s), item 6999: Unlisted procedure or service code, should be used. Please contact the SA Medical Association (SAMA) Private Practice Unit via e-mail on coding@samedical.org to obtain a comparable code for the unlisted procedure/service which will be based on the fee for a comparable service in the coding structure. When item 6999 is used to indicate that an unlisted service was rendered, the use of the item must be supported by a special report. This report must include: (1) An adequate definition or description of the nature, extent and need for the procedure/service or “medical necessity”; (2) In which respect is this service unusual or different in technique, compared to available procedures/services listed in the coding structure? Information regarding the nature and extent of the procedure/service, time and effort, special/dedicated equipment needed to provide this service, must be included in the report; (3) Is this procedure/service medically appropriate under the circumstances? Explain why another procedure/service listed in the coding structure will not be appropriate in this case; (4) A description of the complexity of the symptoms and concurrent problems must be supplied; (5) Final diagnosis supported by the appropriate ICD-10 code(s); (6) Pertinent physical findings  (size, location and number of lesions if applicable); (7) Mention any other diagnostic or therapeutic procedure(s)/service(s) provided at the same session; (8) Any further diagnostic or therapeutic procedure(s)/service(s) to be provided in the follow-up period; and (9) Description of the follow-up care needed. Please note: This comparable service code may not be used for a period longer than six months for a particular procedure/service after which time an application has to be made for the addition of a specific code for this procedure",,,,,,,
D.,"Cancellation of appointments and no-show: in cases where a patient did not show up for an appointment or did not take timely steps to cancel an appointment, Rule D may be applied to the relevant consultation item. Should the practitioner apply Rule D, all of the following must be adhered to:
(1) Timely cancellation of a general practitioners appointment must be two hours and in the case of a specialist one calendar day prior to the appointment
(2) The practitioner must be able to provide evidence of failure to find an alternative patient between the time of receiving the cancellation notice and the time of the cancelled appointment.
(3) The practitioner must be able to provide sufficient proof that the patient was informed at the time of booking about the cancellation of appointments policy,
(4) The practitioner shall first established the reasons for the patient’s failure to cancel or honour the appointment (e.g. death and hospitalisation are excluded). Each case shall, be considered on merit and, if circumstances warrant, the patient will not be held liable.
(5) Rule D must be quoted on the account to indicate that the appointment was not cancelled. se may be.",,,,,,,
E.,Pre-operative visits: The appropriate fee may be charged for all pre-operative visits with the exception of a routine pre-operative visit at the hospital,,,,,,,
F.,"Administering of injections and/or infusions:  Where applicable, fees for administering injections and/or infusions may only be charged when done by the practitioner himself",,,,,,,
G.,"Post-operative care:  (a) Unless otherwise stated, the fee in respect of an operation or procedure shall include normal after-care for a period not exceeding ONE month (after-care is excluded from pure diagnostic procedures during which no therapeutic procedures were performed).  (b) If the normal after-care is delegated to any other registered health professional and not completed by the surgeon, it shall be his/her own responsibility to arrange for this to be done without extra charge. (c) When post-operative care/treatment of a prolonged or specialised nature is required, such fee as may be agreed upon between the surgeon and the scheme or the patient (in case of a private account) may be charged. (d)  Normal after-care refers to an uncomplicated post-operative period not requiring any further incisions",,,,,,,
