"GEMS PROFESSIONAL FEES TARIFFS FOR ORTHOTICS & PROSTHETICS
WITH EFFECT FROM 2026-01-01",,,"
 087 - Orthotics & Prosthetics
"
Tariff code,Description,2026 Tariff Value,Flag
"Disclaimer: 
1. All Orthotic and Prosthetic tariff codes, NAPPI codes, and tariff rates are subject to Scheme rules, benefits, protocols, policies, and member/beneficiary available limits and sub-limits.
2. Pre- authorization and provider referral will be subject to a threshold, and this may include other codes as per the flag column where the Scheme deems necessary.",,,
10001,Orthotic consultation (per 15 minutes or part thereof),R226.00,No authorisation and referral required  
10003,Fit OTS soft orthosis (per item = 15min max). ,R226.00,No authorisation and referral required  
10004,Fit & modify OTS soft orthosis ( per item = 25 min max). ,R376.60,No authorisation and referral required  
10005,Measure & fit custom-made soft orthosis ( per item = 30 min max). ,R451.70,No authorisation and referral required  
10006,Fit & adjust semi-rigid OTS orthosis (per item = max 30 min).,R552.00,No authorisation and referral required  
10007,Custom fit & adjust semi-rigid orthosis (per item = max 30 min),R828.20,No authorisation and referral required  
10008,Custom fit rigid OTS orthosis (per item = max 50 min),"R1,380.50",No authorisation and referral required  
10009,Additional fee for measuring/fitting hospitalised patient in bed,R276.20,Subject to hospital authorisation 
10010,Prosthetic consultation (per 15min or part thereof),R226.00,No authorisation and referral required  
10012,Prosthetic consultation casting and measuring (per 60min or part thereof),"R2,570.20",Authorisation and referral required  
10014,Supply OTS prosthetic software (single / multiple of same item dispensed).,R276.20,No authorisation and referral required  
10016,Supply OTS prosthetic software (multiple assorted items dispensed). ,R552.00,No authorisation and referral required  
10019,Gait analysis/dynamic alignment/training session  - per 45 min. ,"R1,104.20",No authorisation and referral required  
10020,Hospital visit – Travelling to hospital to fit/measure O/P or consult with client. Travelling distance up to 10km is included in fee.,R377.40,Subject to hospital authorisation 
10021,Hospital visit – Travelling to hospital to fit/measure O/P or consult with client. To be used by practitioners with practice offices in the hospitals where no travelling is required.,R344.10,Subject to hospital authorisation 
10060,Lab fee custom fabricate Orthotic per hour,,Authorisation and referral required  
10061,Lab fee custom fabricate Prosthetic per hour,,Authorisation and referral required  
10062,Lab fee  footwear modification per 30 minutes,,Authorisation and referral required  
10063,Lab fee - custom fabrication Surgical footwear per hour,,Authorisation and referral required  
10064,Lab fee custom Myo-electric arm per hour,,Authorisation and referral required  
10068,Prosthetic fitting and adjusting,,Authorisation and referral required  
10070,Orthotic repairs per 30 minutes,,No authorisation and referral required  
10071,Prosthetic repairs per 30 minutes,,No authorisation and referral required  
10072,Footwear modification repairs per 15 minutes,,No authorisation and referral required  
10073,Surgical footwear repairs per 30 minutes,,No authorisation and referral required  
10074,Myo-electric arm repairs per 30 minutes,,No authorisation and referral required  
10100,"Foot orthotic -  moulded to foot last, per pair",,Authorisation and referral required  
10103,"Foot orthotic - moulded to patient model 3/4 length, per pair",,Authorisation and referral required  
10106,"Foot orthotic - moulded to patient model full length, per pair ",,Authorisation and referral required  
10112,"Heel seats - custom made, per pair",,Authorisation and referral required  
10115,"Metatarsal pads stuck in, per pair",,No authorisation and referral required  
10118,"Orthotic - modify existing innersole of sports shoe, per pair",,Authorisation and referral required  
10121,Orthotics U.C.B.L. per pair,,Authorisation and referral required  
10124,"Toe alignment splint, per each",,No authorisation and referral required  
10130,"Valgus pad stuck in, per pair",,No authorisation and referral required  
10133,"Whitmans supports, per pair",,Authorisation and referral required  
10136,"Forest Town Boots, per each",,Authorisation and referral required  
10139,"Surgical boots made to measure, per pair",,Authorisation and referral required  
