"GEMS TARIFF FOR ALL OTHER  PATHOLOGISTS
WITH EFFECT FROM 2026-01-01",,052-Pathology
Tariff Code,Tariff Description,2026 Tariff Value
0017,Injections administered by practitioners:Desensiti- sation;IVI;IMI;SC injections,R217.40
0109,Hospital follow-up visit to patient in ward or nursing facility,R434.20
0129,Prolonged cons/Long distance: per km Whirlpool (chiropractor),R0.00
0130,X-ray mobile unit/Telephone con(all hours)/per km >100km/ILS return non-patient carrying kms,R347.50
0132,Consulting service e.g. writing of repeat scripts Anaesthetics Cat C-Specialist medical practition,R144.90
0133,Adv.Life Support/Writing of special motivations Sitz Bath (chiropractor),R260.30
0141,Consult/visit (10-20 min)/Long distance:per km Galvanism (chiropractor),R0.00
0143,Consultation/Visit (between 30 and 40 minutes) Low Voltage Galvanic Iontophoresis (chiropractor,R0.00
0145,For consultation/visit away from the doctor's home X-ray fluoroscopy guidance for biopsy any region,R173.80
0146,Emergency Consultation,R231.70
0147,For an emergency consultation/visit away from the doctor's rooms all hours,R405.10
0173,First hospital consultation visit of an average d duration and or complexity,R492.20
0174,First hosp cons/ visit of a moderately above averageduration and /or complexity.,R492.20
0175,First hosp cons/ visit of long duration and /or high complexity.,R492.20
0190,Cons/visit-average duration /or complexity/X-ray examination contrast material,R492.20
0191,Cons/visit of long duration /or high complexity Prosthetic Fitting and training(chiropractor),R492.20
0192,Cons/visit of long duration /or high complexity,R492.20
0199,Doctors Report for Chronic Medication,R620.60
0201,Cost of material/Contact lens fitting:Basic:Monocul.Proprietary homeopathic medicine-All forms(Homeo,R0.00
0202,Setting of sterile tray/Cont. lens fitting:Complex/ Non-proprietary homeopathic meds(tablets & caps),R178.90
0208,Therap. venesection/Disp cont lens:aft care:sub yrs.,R0.00
0217,Allergies:1st patch,R71.90
0218,Skin-prick testing: Insect vemon latex and drugs,R50.30
0219,Allergies - each add patch.,R36.00
0220,Hypersens test type 1 reaction per antigen:Inhalant +food allergens/Ultrasound intra-operative study,R33.70
0221,Delayed hypersensitivity testing (Type IV reaction):per antigen,R50.30
0237,Deep skin biopsy by incision with L.A. & suturing.,R0.00
0316,Fine needle aspiration for soft tissue (all areas).,R269.00
0438,Open reduction Talus Fracture (modifier 0051 n/a),"R3,561.80"
0742,Global fee for all muscle studies.,"R4,696.50"
0988,Genioplasty.,"R4,714.60"
1061,Lateral rhinotomy.,"R2,940.20"
1206,Intensive care: Subsequent days - per day.,R0.00
1457,Bone marrow biopsy -by trephine. Emergency service standby-Advanced Life Support,R232.90
1458,Simple aspiration of marrow by trocar or cannula.,R143.20
1633,Complete test using lactose & lactulose.,R484.10
2399,Punch biopsy.,R0.00
3024,Infusion of dye used during Fluorescein Angiography,R248.80
3613,Miscellaneous: Setting of sterile trays,R83.80
3646,Use of radio-isotopes: Thyroid scanning,R487.70
3705,Haematology: Alkali resistant haemoglobin,R93.40
3706,Haematology: Coombs' consumption,R149.00
3709,Haematology: Antiglobulin test,R75.60
3710,Haematology: Antibody titration,R149.00
3711,Haematology: Arneth count,R46.90
3712,Haematology: Antibody identification,R174.90
3713,Bleeding time (does not incl cost of simplate device,R143.70
3714,Haematology: Blood volume,R149.00
3715,Haematology: Buffy layer examination,R412.50
3716,Mean Cell Volume,R412.50
3717,Haematology: Bone marrow cytological exam.only,R412.50
3718,CR-PCR,"R3,185.60"
3719,Haematology: Bone marrow - Aspiration,R174.20
3720,Haematology: Bone marrow trephine biopsy,R675.80
3721,Bone marrow aspiration trephine biopsy,R762.60
3722,Capillary fragility: Hess,R42.00
3723,Haematology: Circulating anticoagulants,R121.10
3724,Haematology: Coagulation factor inhibitor,"R1,193.00"
3726,Activated protein C resistance,R538.70
3727,Haematology: Coagulation time,R65.40
3728,Anti-factor Xa Activity,"R1,110.60"
3729,Haematology: Cold agglutinins,R74.90
3730,Protein S: Functional ,R777.10
3731,Haematology: Compatibility for blood transfusion,R74.90
3732,Haematology: Cryoglobulin,R74.90
3734,Protein C (chromogenic),R627.70
3735,Anti-thrombin III,R455.90
3736,Plasminogen (chromogenic),"R1,277.50"
3737,Lupus Russel Viper method,R352.40
3738,Lupus Kaolin Exner method,R518.10
3739,Haematology: Erythrocyte count,R46.90
3740,Haematology: Factors V and Vii: Qualitative,R149.00
3741,Haematology: Coagulation factor assay: functional,R195.80
3742,Haematology: Coagulation factor assay: immunological,R93.40
3743,Haematology: Erythrocyte sedimentation rate,R62.10
3744,Haematology: Fibrin stabilizing factor (urea test),R93.40
3746,Haematology: Fibrin monomers,R56.20
3748,Plasminogen activator inhibitor (PAI-I),"R1,366.90"
3750,Tissue plasminogen Activator (tPA),"R1,404.70"
3751,Haematology: Osmotic fragility (screen),R46.90
3752,Haematology: Osmotic fragility test (quantitative),R207.20
3753,Haematology: Osmotic fragility (before and after incubation),R373.00
3754,ABO Reverse Grouping,R69.00
3755,Haematology: Full blood count,R216.10
3756,Haematology: Full cross match,R149.00
3757,Haematology: Coagulation factors (quantitative),R667.50
3758,Haematology: Factor VIII related antigen,"R1,253.10"
3759,Haematology: Coagulation factor correction study,R242.80
3760,Haematology: Coagulation studies,"R2,252.50"
3761,Factor XIII related antigen,"R1,266.10"
3762,Haematology: Haemoglobin estimation,R37.20
3763,Haematology: Contact activated assay,R335.70
3764,Grouping A B and O Antigens,R74.90
3765,Grouping Rh Antigens,R74.90
3766,PIVKA,R901.40
3767,Haematology: Euglobulin lysis time,R530.10
3768,Haematology: Haemoglobin A (column chromatography),R310.90
3769,Haematology: Haemoglobin electrophoresis,R555.80
3770,Haematology: Haemoglobin-S (solubility test),R74.90
3771,Haematology: Factor III availability test,R121.10
3772,Haematology: Haptoglobin,R195.80
3773,Haematology: Ham's acidified serum test,R165.80
3775,Haematology: Heinz bodies,R46.90
3776,Haemosiderin in urinary sediment,R46.90
3781,Haematology: Heparin tolerance,R149.00
3783,Haematology: Leucocyte differential count,R128.80
3785,Haematology: Leucocytes: total count,R37.20
3786,QBC malaria concentration and fluorescent staining QBC malaria,R518.10
3787,Haematology: LE cells,R172.10
3789,Haematology: Neutrophil alkaline phosphatase,R580.10
3791,Haematology: Packed cell volume: Haematocrit,R37.20
3792,Plasmodium falciparum: Mono. immuno. identification,R186.70
3793,Haematology: Plasma haemoglobin,R139.80
3794,Platelet sensitivities,R386.30
3795,Haematology: Platelet aggregation,R251.70
3796,Haematology: Platelet antibodies: agglutination,R112.00
3797,Haematology: Platelet count,R46.90
3799,Haematology: Platelet adhesiveness,R93.40
3801,Haematology: Prothrombin consumption,R121.10
3803,Haematology: Prothrombin determination,R121.10
3805,Haematology: Prothrombin index,R124.10
3806,Therapeutic drug level: Dosage ,R93.40
3807,Haematology: Reclassification time,R46.90
3809,Haematology: Reticulocyte count,R62.10
3810,Haematology: Schumm's test,R74.90
3811,Haematology: Sickling test,R46.90
3814,Haematology: Sucrose lysis test for PNH,R74.90
3816,Haematology: T and B cells EAC markers,R433.90
3820,Thrombo - Elastogram,R538.70
3825,Haematology: Fibrinogen titre,R74.90
3828,suPAR - Plasminogen Act Recep,R0.00
3829,Haematology: Glucose (qualitative),R165.80
3830,Haematology: Glucose (quantitative),R331.60
3832,Haematology: Red cell pyruvate kinase (quantitative),R331.60
3834,Haematology: Red cells Rhesus phenotype,R205.20
3835,Haematology: Haemoglobin F in blood smear,R121.10
3837,Haematology: Partial thromboplastin time,R121.10
3841,Haematology: Thrombin time (screen),R148.30
3843,Haematology: Thrombin time (serial),R158.70
3847,Haematology: Haemoglobin H,R46.90
3851,Haematology: Fibrin degeneration products (diffusion plate),R214.60
3853,Haematology: Fibrin degeneraation products (diffusion plate),R93.40
3854,XDP (Dimer test or equivalent latex slide test ),R176.30
3855,Haematology: Haemagglutination inhibition,R205.20
3856,D-Dimer (quantitive),R570.60
3857,Ristocetin Cofactor,R736.20
3858,Heparin Removal,R598.90
3863,Autogenous vaccine,R260.80
3864,Entomological examination,R428.90
3865,Microscopic examinations: Parasites in blood smear,R116.10
3867,Microscopic examinations: Miscellaneous,R101.50
3868,Fungus identification,R172.10
3869,Microscopic examinations: Faeces (including parasites),R101.50
3873,Microscopic examinations: Transmission electron microscopy,"R1,761.50"
3874,Microscopic examinations: Scanning electron microscopy,"R2,072.20"
3875,Microscopic examinations: Inclusion bodies,R93.40
3878,Microscopic examinations: Crystal identification polarized light,R93.40
3879,Campylobacter in stool: fastidious culture,R205.20
3880,Microscopic examinations: Antigen detection - polyclonal antibodies,R93.40
3881,Microscopic examinations: Mycobacteria,R62.10
3882,Microscopic examinations: Antigen detection - monoclonal antibodies,R223.90
