"GEMS TARIFF FOR SERVICES BY NON-CONTRACTED DENTAL THERAPISTS WITH
EFFECT FROM 2026-01-01",,095 - Dental Therapy,
Tariff Code,Tariff Description,2026 Tariff values,Flag
,"In calculating the GEMS Tariff , the following rounding method is used: Values  R10 and below rounded to the nearest cent, R10+ rounded to the nearest 10cent. Modifier values are rounded to the nearest cent. When new item prices are calculated, e.g. when applying a modifier, the same rounding scheme should be followed.
ALL GEMS TARIFFS ARE VAT INCLUSIVE.",,
,GENERAL RULES,,
001,"Item 001 refers to a Full Mouth Examination, charting and treatment planning and no further fee shall be chargeable until the treatment plan resulting from this consultation is completed.",,
002,"(a)  Every dental therapist shall render a monthly account for every procedure which has been completed irrespective of whether the total treatment plan has been.
(b)  Every account shall contain the following particulars :
    (i)  the surname and initials of the member;
   (ii)  the first name of the patient;
   (iii)  the name of the scheme;
   (iv)  the membership number of the member;
    (v)  the practice number;
   (vi)  date on which every service was rendered;
  (vii)  where the account is a photocopy of the original, certification by way of a rubberstamp or the signature of the dental therapist ; 
 (viii)  a statement of whether the account is in accordance with the National Reference Price List ; 
  (ix)  the name of the dental therapist rendering the service must be shown on the account;and
   (x)  the  relevant diagnostic codes and NHRPL item code numbers relating to the health service rendered;.",,
003,"It is recommended that, when such benefits are granted, drugs, consumables and disposable items used during a procedure or issued to a patient on discharge will only be reimbursed by a medical scheme if the appropriate code is supplied on the account.",,
,ITEMS,,
8139,Appointment not kept /30min,R0.00,
8109,Infection control/barrier techniques,R26.00,
8110,Sterilized instrumentation,R66.30,
8120,Treatment plan completed,R0.00,
,Diagnostic services,,
8101,Oral examination,R148.10,
8102,Comprehensive oral examination,R239.20,
8104,Limited oral examination,R115.20,
8189,Re-examination - existing condition,R115.20,
8129,Office/hospital visit – after regularly scheduled hours,R355.60,
8176,Periodontal examination,R125.20,
8140,House/extended care facility/hospital call,R235.40,
8190,Consultation - second opinion or advice,R285.70,
,Radiographs/diagnostic imaging,,
8107,Intraoral radiograph - periapical,R115.40,
8108,Intraoral radiographs/images - complete series,R895.60,
8112,Intraoral radiograph - bitewing,R115.40,
8113,Intraoral radiograph - occlusal,R191.10,
8114,Extraoral radiograph - hand-wrist,R0.00,
8115,Panoramic radiograph/image,R462.70,
8116,Cephalometric radiograph/image,R444.40,
8118,Extraoral radiograph - skull/facial bone,R0.00,
8802,Orthodontic consultation and treatment planning.,R0.00,
8121,Oral and/or facial image (digital/conventional),R118.90,
,Preventive services,,
8151,Oral hygiene instruction,R116.30,
8153,Oral hygiene instruction - each additional visit,R85.20,
8155,Polishing - complete dentition,R175.40,
8159,Prophylaxis - complete dentition,R345.20,
8179,Polishing-complete dentition (periodontically compromised),R201.40,
8180,Prophylaxis-complete dentition (periodontically compromised),R375.00,
8181,Administration of dermal filler within the peri-oral area.,R0.00,
8182,Cost of dermal filler.,R0.00,
8161,Topical application of fluoride - child,R175.40,
8162,Topical application of fluoride - adult,R175.40,
8163,Sealant - per tooth,R115.40,
8737,Root planning-four or more teeth per quadrant,R702.80,
8739,Root planning-one to three per quadrant,R559.10,
,Extractions during a single visit.,,
8201,Extraction of tooth or exposed tooth roots,R201.70,
8145,Local anaesthetic - per visit,R111.60,
8220,Cost of suture material,,
8221,Cost of haemostatic sponge.,R0.00,
8278,Modification of surgical conformer.,R0.00,
8722,Cost of provisional splinting materials. See Rule 002 Appendix A.,R0.00,
8931,Treatment of post-extraction haemorrhage,R107.70,
8935,Treatment of septic socket,R107.70,
9011,Incision & drainage of abscess - intra-oral (pyogenic),R204.40,
8303,Pulp cap - indirect,R210.60,
,Amalgam restorations (including polishing).,,
8341,Amalgam - one surface,R303.50,
8342,Amalgam - two surfaces,R374.50,
8343,Amalgam - three surfaces,R456.10,
8344,Amalgam - four or more surfaces,R508.20,
,Resin restorations (using resin bonding technique),,
8351,"Resin - one surface, anterior",R367.20,
8352,"Resin - two surfaces, anterior",R461.60,
8228,ART restorations,R398.00,
8367,"Resin - one surface, posterior",R398.00,
8369,"Resin - three surfaces, posterior",R594.60,
8370,"Resin - four or more surfaces, posterior",R640.00,
8368,"Resin - two surfaces, posterior",R492.80,
8353,"Resin - three surfaces, anterior",R551.50,
8354,"Resin - four or more surfaces, anterior",R615.70,
8350,Resin crown - anterior primary tooth (direct),R662.00,
8355,Veneer-resin,R582.70,
,Palliative Treatment,,
8131,Emergency dental treatment,R148.10,
8165,Sedative filling,R148.10,
8166,Application of desensitising or caries arresting agent – per tooth,R97.60,
8167,"Application of desensitising medicament, per visit",R114.30,
9295,Cost of device material to test implant stability.,R0.00,
9297,Removal of eyelet wiring.,R0.00,
